"nombres","apellidos","numero.lista","corporacion","partido","genero","nacimiento","tiempo.congreso","La.eutanasia","El.sexo.antes.del.matrimonio","El.matrimonio.homosexual","El.divorcio","El.consumo.de.marihuana","El.aborto","Estatuto.de.la.Ciudadanía.Juvenil","Justicia.Penal.Militar..Fuero.Militar","Reforma.a.la.Justicia.Ejecutivo","Implementación.del.TLC.con.Estados.Unidos..Ley.Lleras.2.0","Ley.estatutaria.de.reforma.a.la.salud"
"Valentín","de la Barrera Barrios","103","Representante a la Cámara","Alianza Verde","",NA,0,"","","","","","",NA,NA,NA,NA,NA
"Modesto Andrés","De La Cruz Carrasquilla","103","Representante a la Cámara","Conservador Colombiano","",NA,0,"","","","","","",NA,NA,NA,NA,NA
"Ofelia","De La Espriella Alvarez","103","Representante a la Cámara","Cambio Radical","",NA,0,"","","","","","",NA,NA,NA,NA,NA
"Hernan de Jesus","De la Ossa Suarez","69","Senador de la República","Centro Democrático","M",NA,0,"","","","","","",NA,NA,NA,NA,NA
"Fernando","De la Peña Márquez","101","Representante a la Cámara","Opción Ciudadana","M",1956,7,NA,"","","","","",NA,"","agree",NA,"agree"
"Leopoldo","De La Rosa Ariza","45","Senador de la República","Opción Ciudadana","",NA,0,"","","","","","",NA,NA,NA,NA,NA
"Luis Eduardo","Delgado Alvarado","112","Representante a la Cámara","Union Patriotica - Up","",NA,0,"","","","","","",NA,NA,NA,NA,NA
"Arbey","Delgado Argote","22","Senador de la República","Cambio Radical","",NA,0,"","","","","","",NA,NA,NA,NA,NA
"Luis Fernando","Delgado Jiménez","78","Senador de la República","Cambio Radical","",NA,0,"","","","","","",NA,NA,NA,NA,NA
"Javier Mauricio","Delgado Martínez","13","Senador de la República","Conservador Colombiano","M",NA,0,"","","","","","",NA,NA,NA,NA,NA
"Esperanza","Delgado Motoa","113","Representante a la Cámara","Partido Social de Unidad Nacional - Partido de la U","",NA,0,"","","","","","",NA,NA,NA,NA,NA
"Marly Andrea ","Delgado Pantoja","104","Representante a la Cámara","Opción Ciudadana","F",NA,0,"","","","","","",NA,NA,NA,NA,NA
"Edinson","Delgado Ruiz","8","Senador de la República","Liberal Colombiano","M",1983,4,"","","","","","","agree","agree","agree","agree","agree"
"Alonso Jose","Del Rio Cabarcas","101","Representante a la Cámara","Partido Social de Unidad Nacional - Partido de la U","M",NA,0,"","","","","","",NA,NA,NA,NA,NA
"Alfredo Rafael","Deluque Zuleta","101","Representante a la Cámara","Partido Social de Unidad Nacional - Partido de la U","M",1977,4,NA,"","","","","",NA,"","",NA,"agree"
"Lilia Rodriguez","De Olarte Olarte","55","Senador de la República","Polo Democrático Alternativo","",NA,0,"","","","","","",NA,NA,NA,NA,NA
"Gladys Delgado","De Rodriguez","65","Senador de la República","Alianza Verde","",NA,0,"","","","","","",NA,NA,NA,NA,NA
"Ana Maria","Diaz","91","Senador de la República","Liberal Colombiano","F",NA,0,"","","","","","",NA,NA,NA,NA,NA
"Mauricio","Diaz Arellano","89","Senador de la República","Conservador Colombiano","",NA,0,"","","","","","",NA,NA,NA,NA,NA
"Marcos Yohan","Diaz Barrera","107","Representante a la Cámara","Centro Democrático","",NA,0,"","","","","","",NA,NA,NA,NA,NA
"Edgar Ignacio","Diaz Bernal","103","Representante a la Cámara","Partido Social de Unidad Nacional - Partido de la U","",NA,0,"","","","","","",NA,NA,NA,NA,NA
"Benigno Hernan","Diaz Cárdenas","106","Representante a la Cámara","Centro Democrático","",NA,0,"","","","","","",NA,NA,NA,NA,NA
"Luz Marina","Diaz Diaz","32","Senador de la República","Opción Ciudadana","",NA,0,"","","","","","",NA,NA,NA,NA,NA
"Loher","Díaz Díaz","104","Representante a la Cámara","Conservador Colombiano","",NA,0,"","","","","","",NA,NA,NA,NA,NA
"Samuel","Díaz Escandón","18","Senador de la República","Alianza Verde","",NA,0,"","","disagree","","","",NA,NA,NA,NA,NA
"Alvaro","Diaz Garavito","44","Senador de la República","Centro Democrático","",NA,0,"","","","","","",NA,NA,NA,NA,NA
"John Jairo ","Diaz Gaviria","80","Senador de la República","Conservador Colombiano","M",NA,0,"","","","","","",NA,NA,NA,NA,NA
"Eduardo Agatón","Diazgranados Abadía","101","Representante a la Cámara","Partido Social de Unidad Nacional - Partido de la U","M",1969,4,"","","","","","",NA,"agree","",NA,""
"Carlos Urbano","Díaz Granados Lacouture","47","Senador de la República","Polo Democrático Alternativo","M",NA,0,"","","","","","",NA,NA,NA,NA,NA
"Luis Eduardo","Díaz Granados Torres","101","Representante a la Cámara","Cambio Radical","M",1970,4,NA,"","","","","",NA,"agree","",NA,""
"Margarita Patricia","Diaz Hamburger","104","Representante a la Cámara","Partido Social de Unidad Nacional - Partido de la U","",NA,0,"","","","","","",NA,NA,NA,NA,NA
"Guillermo Jorge","Diaz Hidalgo","101","Representante a la Cámara","Liberal Colombiano","",NA,0,"","","","","","",NA,NA,NA,NA,NA
"Engelberto","Díaz Hurtado","53","Senador de la República","Alianza Verde","",NA,0,"","","","","","",NA,NA,NA,NA,NA
"Jose Ranses","Diaz Leon","401","Representante a la Cámara","Opción Ciudadana","M",NA,0,"","","","","","",NA,NA,NA,NA,NA
"Elbert","Diaz Lozano","103","Representante a la Cámara","Partido Social de Unidad Nacional - Partido de la U","M",NA,0,"","","","","","",NA,NA,NA,NA,NA
"Fabio Eduardo","Díaz Maldonado","103","Representante a la Cámara","Movimiento Político Cien por Ciento por Colombia","",NA,0,"","","","","","",NA,NA,NA,NA,NA
"María del Rosario","Díaz Méndez","59","Senador de la República","Cambio Radical","",NA,0,"","","","","","",NA,NA,NA,NA,NA
"Maria Victoria","Diaz Montenegro","103","Representante a la Cámara","Union Patriotica - Up","F",NA,0,"","","","","","",NA,NA,NA,NA,NA
"Víctor Hugo","Díaz Orrego","102","Representante a la Cámara","Alianza Verde","",NA,0,"","","","","","",NA,NA,NA,NA,NA
"Gloria Stella","Díaz Ortiz","1","Senador de la República","MIRA","F",1964,8,"","","","","","",NA,"agree","disagree",NA,"disagree"
"Armando Antonio","Diaz Peñaranda","037","Senador de la República","Liberal Colombiano","M",NA,0,"","","","","","",NA,NA,NA,NA,NA
"Maria Margarita ","Diaz Restrepo","60","Senador de la República","Centro Democrático","F",NA,0,"","","","","","",NA,NA,NA,NA,NA
"Gloria Inés","Díaz Ricaurte","102","Representante a la Cámara","Polo Democrático Alternativo","",NA,0,"","","","","","",NA,NA,NA,NA,NA
"Orlando","Díaz Rojas","027","Senador de la República","Partido Social de Unidad Nacional - Partido de la U","",NA,0,"","","","","","",NA,NA,NA,NA,NA
"Héctor Amaury","Díaz Romero","102","Representante a la Cámara","Alianza Verde","",NA,0,"","","","","","",NA,NA,NA,NA,NA
"Juan Pablo","Díaz Rubio","64","Senador de la República","Alianza Verde","",NA,0,"","","","","","",NA,NA,NA,NA,NA
"Luz Stella","Diaz Varon","112","Representante a la Cámara","Partido Social de Unidad Nacional - Partido de la U","",NA,0,"","","","","","",NA,NA,NA,NA,NA
"Jesus","Diaz Vera","101","Representante a la Cámara","Movimiento Político Cien por Ciento por Colombia","",NA,0,"","","","","","",NA,NA,NA,NA,NA
"Luis Eduardo","Diossa Arroyave","99","Senador de la República","Cambio Radical","M",NA,0,"","","","","","",NA,NA,NA,NA,NA
"Lázaro Víctor","Dix Sánchez","43","Senador de la República","Alianza Verde","",NA,0,"","","","","","",NA,NA,NA,NA,NA
"Betty","Dolores Morad","103","Representante a la Cámara","Centro Democrático","",NA,0,"","","","","","",NA,NA,NA,NA,NA
"José Jesús","Dominguez Giraldo","102","Representante a la Cámara","Centro Democrático","",NA,0,"","","","","","",NA,NA,NA,NA,NA
"Juan Carlos ","Donado Caamaño","85","Senador de la República","Conservador Colombiano","M",NA,0,"","","","","","",NA,NA,NA,NA,NA
"Flor Paulina","Donado Garizao","24","Senador de la República","Cambio Radical","F",1958,0,"disagree","disagree","disagree","disagree","disagree","disagree",NA,NA,NA,NA,NA
"Fabio","Dorado Gómez","102","Representante a la Cámara","Polo Democrático Alternativo","",NA,0,"","","","","","",NA,NA,NA,NA,NA
"Elsa","Dorronsoro Tenorio","113","Representante a la Cámara","Centro Democrático","",NA,0,"","","","","","",NA,NA,NA,NA,NA
"Jose Antonio","Do Santos Pinto","101","Representante a la Cámara","Partido Social de Unidad Nacional - Partido de la U","",NA,0,"","","","","","",NA,NA,NA,NA,NA
"Ana del Pilar","Duarte Murillo","67","Senador de la República","Cambio Radical","",NA,0,"","","","","","",NA,NA,NA,NA,NA
"Jaime Alonso","Dueñas Peñaranda","102","Representante a la Cámara","Partido Social de Unidad Nacional - Partido de la U","",NA,0,"","","","","","",NA,NA,NA,NA,NA
"Jaime Alonso","Dueñas Peñaranda","102","Representante a la Cámara","Partido Social de Unidad Nacional - Partido de la U","",NA,0,"","","","","","",NA,NA,NA,NA,NA
"Maria Helena ","Dueñas Rosero","104","Representante a la Cámara","Centro Democrático","F",NA,0,"","","","","","",NA,NA,NA,NA,NA
"Cesar Augusto ","Duque Duque","102","Representante a la Cámara","Centro Democrático","",NA,0,"","","","","","",NA,NA,NA,NA,NA
"Luis Fernando","Duque García","22","Senador de la República","Liberal Colombiano","M",1952,16,"","","disagree","","disagree","agree","agree","","agree","agree",""
"Iván","Duque Márquez","7","Senador de la República","Centro Democrático","M",1976,0,"","","","","","",NA,NA,NA,NA,NA
"Yolanda","Duque Naranjo","101","Representante a la Cámara","Liberal Colombiano","F",NA,4,"","","","","","",NA,"agree","agree",NA,"agree"
"Jaime Enrique","Durán Barrera","013","Senador de la República","Liberal Colombiano","M",1960,12,"","","","","","","agree","agree","agree","","agree"
"Antenor","Durán Carrillo","101","Representante a la Cámara","Autoridades Indígenas de Colombia AICO","M",NA,4,NA,NA,"","","","",NA,NA,NA,NA,NA
"María Carolina","Durán Chacón","83","Senador de la República","Cambio Radical","",NA,0,"","","","","","",NA,NA,NA,NA,NA
"Carmen Mireya","Duran De Villanueva","103","Representante a la Cámara","Partido Social de Unidad Nacional - Partido de la U","F",NA,0,"","","","","","",NA,NA,NA,NA,NA
"Jorge Eduardo","Durán Galindo","39","Senador de la República","Liberal Colombiano","M",1964,0,"","","agree","","disagree","agree",NA,NA,NA,NA,NA
"Hernán Said","Durán Rodríguez","104","Representante a la Cámara","Conservador Colombiano","",NA,0,"","","","","","",NA,NA,NA,NA,NA
"Roberto Carlos","Durán Tovar","107","Representante a la Cámara","MIRA","",NA,0,"","","","","","",NA,NA,NA,NA,NA
"Óscar Darío","Echavarría Muñoz","117","Representante a la Cámara","Conservador Colombiano","",NA,0,"","","","","","",NA,NA,NA,NA,NA
"Betty del Socorro","Echeverría Consuegra","107","Representante a la Cámara","Conservador Colombiano","F",NA,0,NA,NA,"","","","",NA,NA,NA,NA,NA
"Gilberto","Echeverria Suarez","21","Senador de la República","MIRA","",NA,0,"","","","","","",NA,NA,NA,NA,NA
"Hungría del Carmen","Echeverri Cuellar","107","Representante a la Cámara","MIRA","F",1953,0,"disagree","","disagree","disagree","","disagree",NA,NA,NA,NA,NA
"Sergio Augusto","Echeverri Duque","106","Representante a la Cámara","Polo Democrático Alternativo","",NA,0,"","","","","","",NA,NA,NA,NA,NA
"Nicolás Albeiro","Echeverry Alvarán","110","Representante a la Cámara","Conservador Colombiano","M",NA,0,"","","","","","",NA,NA,NA,NA,NA
"Jaime de Jesús","Echeverry Marín","103","Representante a la Cámara","Conservador Colombiano","",NA,0,"","","","","","",NA,NA,NA,NA,NA
"Juan Pablo","Echeverry Nicolella","116","Representante a la Cámara","Centro Democrático","",NA,0,"","","","","","",NA,NA,NA,NA,NA
"Rafael","Elizalde Gómez","101","Representante a la Cámara","Opción Ciudadana","",NA,0,"","","","","","",NA,NA,NA,NA,NA
"Camilo Alberto","Enciso Vanegas","040","Senador de la República","Partido Social de Unidad Nacional - Partido de la U","",NA,0,"","","","","","agree",NA,NA,NA,NA,NA
"Carlos Eduardo","Enríquez Maya","22","Senador de la República","Conservador Colombiano","M",1948,16,"","","","","","","agree","agree","agree","agree",""
"Manuel Mesías","Enríquez Rosero","60","Senador de la República","Partido Social de Unidad Nacional - Partido de la U","M",1958,12,"","","","","disagree","disagree","agree","agree","agree","agree","agree"
"Mónica Patricia","Ensuncho Maurio","105","Representante a la Cámara","MIRA","",NA,0,"","","","","","",NA,NA,NA,NA,NA
"Gloria Elena","Erazo Garnica","103","Representante a la Cámara","Alianza Social Independiente","",NA,0,"","","","","","",NA,NA,NA,NA,NA
"Julia Isabel","Escallón Salgar","112","Representante a la Cámara","Centro Democrático","",NA,0,"","","","","","",NA,NA,NA,NA,NA
"Rafael","Escalona Tovar","101","Representante a la Cámara","Polo Democrático Alternativo","",NA,0,"","","","","","",NA,NA,NA,NA,NA
"Carolina","Escamilla Pacheco","96","Senador de la República","Centro Democrático","",NA,0,"","","","","","",NA,NA,NA,NA,NA
"Pedro Nel","Escobar Córdoba","103","Representante a la Cámara","Conservador Colombiano","",NA,0,"","","","","","",NA,NA,NA,NA,NA
"Heriberto","Escobar González","8","Senador de la República","Opción Ciudadana","M",1977,4,"","","","","","",NA,"agree","agree",NA,"agree"
"Grace Maria","Escobar Marquez","103","Representante a la Cámara","Opción Ciudadana","F",NA,0,"","","","","","",NA,NA,NA,NA,NA
"Carlos Marcel","Escobar Pérez","104","Representante a la Cámara","Centro Democrático","",NA,0,"","","","","","",NA,NA,NA,NA,NA
"Armando","Escobar Potes","103","Representante a la Cámara","Polo Democrático Alternativo","M",NA,0,"","","","","","",NA,NA,NA,NA,NA
"Gustavo","Escobar Valbuena","107","Representante a la Cámara","Opción Ciudadana","",NA,0,"","","","","","",NA,NA,NA,NA,NA
"Luis José","Escorcia León","104","Representante a la Cámara","Polo Democrático Alternativo","",NA,0,"","","","","","",NA,NA,NA,NA,NA
"Hector","Escudero Lopez","23","Senador de la República","Opción Ciudadana","",NA,0,"","","","","","",NA,NA,NA,NA,NA
"Ricardo Andres","Eslava Niño","105","Representante a la Cámara","Polo Democrático Alternativo","M",1983,0,"","","","","","",NA,NA,NA,NA,NA
"Julian","España Muñoz","201","Senador de la República","Corporación Indígena Yanacona","",NA,0,"","","","","","",NA,NA,NA,NA,NA
"Luz Marina","Esper Fayad","102","Representante a la Cámara","Liberal Colombiano","",NA,0,"","","","","","",NA,NA,NA,NA,NA
"Edgar","Espíndola Niño","100","Senador de la República","Opción Ciudadana","M",1968,7,"","","","","","","","","","agree","agree"
"Jorge Danny ","Espinel Giraldo","110","Representante a la Cámara","Opción Ciudadana","",NA,0,"","","","","","",NA,NA,NA,NA,NA
"Ana María","Espinosa Pujol","111","Representante a la Cámara","Conservador Colombiano","",NA,0,"","","","","","",NA,NA,NA,NA,NA
"Juan Vicente ","Espinosa Reyes","106","Representante a la Cámara","Cambio Radical","M",NA,0,"","","","","","",NA,NA,NA,NA,NA
"Mauricio","Estévez Pedraza","114","Representante a la Cámara","Cambio Radical","",NA,0,"","","","","","",NA,NA,NA,NA,NA
"Julio César","Estrada Cordero","201","Senador de la República","Organización de los Pueblos Indígenas de la Amazonia Colombiana-OPIAC","M",NA,0,NA,NA,"disagree","disagree","disagree","disagree",NA,NA,NA,NA,NA
"Julio Ernesto","Estrada Rincón","030","Senador de la República","Partido Social de Unidad Nacional - Partido de la U","",NA,0,"","","","","","",NA,NA,NA,NA,NA
"Maria Angelita ","Estrada Rodríguez","104","Representante a la Cámara","Liberal Colombiano","",NA,0,"","","","","","",NA,NA,NA,NA,NA
"Darío","Estrada Velandia","103","Representante a la Cámara","MIRA","",NA,0,"","","","","","",NA,NA,NA,NA,NA
"Hernan Gustavo","Estupiñan Calvache","103","Representante a la Cámara","Liberal Colombiano","",NA,0,"","","","","","",NA,NA,NA,NA,NA
"Ricardo Alfonso","Fajardo Bernal","28","Senador de la República","Opción Ciudadana","",NA,0,"","","","","","",NA,NA,NA,NA,NA
"Carlos Ángel","Fajardo Cardozo","104","Representante a la Cámara","Liberal Colombiano","",NA,0,"","","","","","",NA,NA,NA,NA,NA
"Gil Alberto","Falcon Prasca","105","Representante a la Cámara","Polo Democrático Alternativo","",NA,0,"","","","","","",NA,NA,NA,NA,NA
"Yandira Alexandra","Farah Botero","39","Senador de la República","MIRA","",NA,0,"","","","","","",NA,NA,NA,NA,NA
"Carlos","Felipe Mejía","17","Senador de la República","Centro Democrático","",NA,0,"","","","","","",NA,NA,NA,NA,NA
"Leidy Andrea","Feo Mahecha","072","Senador de la República","Partido Social de Unidad Nacional - Partido de la U","",NA,0,"","","","","","",NA,NA,NA,NA,NA
"Mario Alberto","Fernandez Alcocer","60","Senador de la República","Liberal Colombiano","M",NA,0,"","","","","","",NA,NA,NA,NA,NA
"Mauricio","Fernandez Bueno","109","Representante a la Cámara","MIRA","",NA,0,"","","","","","",NA,NA,NA,NA,NA
"German","Fernandez Cabrera","016","Senador de la República","Polo Democrático Alternativo","",NA,0,"","","","","","",NA,NA,NA,NA,NA
"Erwin Eliazar ","Fernandez Caraballo","104","Representante a la Cámara","Movimiento Político Cien por Ciento por Colombia","",NA,0,"","","","","","",NA,NA,NA,NA,NA
"Andrés Arturo","Fernandez Cerchiaro","101","Representante a la Cámara","Liberal Colombiano","M",1984,0,"","","","","","",NA,NA,NA,NA,NA
"Mauricio","Fernandez Franco","37","Senador de la República","Conservador Colombiano","",NA,0,"","","","","","",NA,NA,NA,NA,NA
"Sergio David","Fernandez Granados","111","Representante a la Cámara","Polo Democrático Alternativo","",NA,0,"","","","","","",NA,NA,NA,NA,NA
"Tatiana","Fernandez Maya","104","Representante a la Cámara","Union Patriotica - Up","F",NA,0,"","","","","","",NA,NA,NA,NA,NA
"Juan Carlos","Fernández Murillo","111","Representante a la Cámara","MIRA","M",NA,0,"","","","","","",NA,NA,NA,NA,NA
"Ciro","Fernandez Nuñez","101","Representante a la Cámara","Cambio Radical","",NA,0,"","","","","","",NA,NA,NA,NA,NA
"Junio Aurelio","Fernández Polo","106","Representante a la Cámara","Alianza Verde","",NA,0,"","","","","","",NA,NA,NA,NA,NA
"Carlos Orlando","Ferreira Pinzon","102","Representante a la Cámara","Cambio Radical","M",NA,0,"","","","","","",NA,NA,NA,NA,NA
"Pedro Enrique ","Ferrin Ordoñez","301","Representante a la Cámara","Corporación Social e Integral del Pacífico - Corposinpac","",NA,0,"","","","","","",NA,NA,NA,NA,NA
"Carlos Roberto","Ferro Solanilla","004","Senador de la República","Partido Social de Unidad Nacional - Partido de la U","M",1962,9,"","","","","","","agree","agree","disagree","agree","agree"
"Juan Alfonso","Fierro Manrique","023","Senador de la República","Liberal Colombiano","M",1950,0,"","","","","","",NA,NA,NA,NA,NA
"Miguel Andrés","Fierro Pinto","118","Representante a la Cámara","Centro Democrático","M",1982,0,"","","","","","",NA,NA,NA,NA,NA
"Clarisa","Figueroa Melguizo","102","Representante a la Cámara","MIRA","",NA,0,"","","","","","",NA,NA,NA,NA,NA
"Oswaldo","Figueroa Rodríguez","082","Senador de la República","Partido Social de Unidad Nacional - Partido de la U","",NA,0,"","","","","","",NA,NA,NA,NA,NA
"Guillermo Eduardo ","Fletcher Velasco","103","Representante a la Cámara","Centro Democrático","",NA,0,"","","","","","",NA,NA,NA,NA,NA
"José Bernardo","Flórez Asprilla","101","Representante a la Cámara","Partido Social de Unidad Nacional - Partido de la U","M",1962,4,NA,"","","","","",NA,"agree","agree",NA,"agree"
"René Antonio","Florez Castellanos","101","Representante a la Cámara","Movimiento Blanco por la Paz","M",NA,0,"","","","","","",NA,NA,NA,NA,NA
"Alexander","Florez Garcia","111","Representante a la Cámara","Partido Social de Unidad Nacional - Partido de la U","M",1970,0,"","","","","","",NA,NA,NA,NA,NA
"Alberto Antonio ","Florez Marquez","204","Representante a la Cámara","Asociacion de Autoridades Tradicionales Indigenas - Opic","",NA,0,"","","","","","",NA,NA,NA,NA,NA
"César Julio","Flórez Rodríguez","103","Representante a la Cámara","Polo Democrático Alternativo","M",1964,0,"","","disagree","","disagree","disagree",NA,NA,NA,NA,NA
"Ricardo","Florez Rueda","101","Representante a la Cámara","Opción Ciudadana","M",NA,0,"","","","","","",NA,NA,NA,NA,NA
"Margery","Florez Valencia","34","Senador de la República","MIRA","",NA,0,"","","","","","",NA,NA,NA,NA,NA
"Jesse Jairo ","Fonseca Camacho","34","Senador de la República","Conservador Colombiano","M",NA,0,"","","","","","",NA,NA,NA,NA,NA
"Domingo Sabio","Fonseca Cipriano","101","Representante a la Cámara","Polo Democrático Alternativo","",NA,0,"","","","","","",NA,NA,NA,NA,NA
"Candy María","Fonseca Fernandez","110","Representante a la Cámara","Polo Democrático Alternativo","F",1969,0,"agree","agree","agree","agree","agree","agree",NA,NA,NA,NA,NA
"Jader","Fonseca Jalkh","102","Representante a la Cámara","Liberal Colombiano","",NA,0,"","","","","","",NA,NA,NA,NA,NA
"Emilia Carmen","Fontalvo Fontalvo","103","Representante a la Cámara","Cambio Radical","F",NA,0,"","","","","","",NA,NA,NA,NA,NA
"Fernando","Forero Cruz","101","Representante a la Cámara","Alianza Verde","M",NA,0,"","","","","","",NA,NA,NA,NA,NA
"Olga Stella","Forero de Silva","011","Senador de la República","Polo Democrático Alternativo","",NA,0,"","","","","","",NA,NA,NA,NA,NA
"Matilde Cecilia","Forero Garcia","106","Representante a la Cámara","Partido Social de Unidad Nacional - Partido de la U","",NA,0,"","","","","","",NA,NA,NA,NA,NA
"Mónica","Forero Hernández","069","Senador de la República","Partido Social de Unidad Nacional - Partido de la U","",NA,0,"","","","","","",NA,NA,NA,NA,NA
"Andrés Eduardo","Forero Molina","109","Representante a la Cámara","Centro Democrático","",NA,0,"","","","","","",NA,NA,NA,NA,NA
"Carlos","Forero Sanchez","038","Senador de la República","Partido Social de Unidad Nacional - Partido de la U","M",1970,0,"agree","agree","disagree","agree","disagree","agree",NA,NA,NA,NA,NA
"Clara Inés","Forero Santana","61","Senador de la República","Polo Democrático Alternativo","F",NA,0,"","","","","","",NA,NA,NA,NA,NA
"Jesus Antonio","Foronda Diaz","110","Representante a la Cámara","Opción Ciudadana","M",NA,0,"","","","","","",NA,NA,NA,NA,NA
"Davidson","Fourier Aristizabal","29","Senador de la República","Alianza Verde","",NA,0,"","","","","","",NA,NA,NA,NA,NA
"César Augusto","Franco Arbeláez","102","Representante a la Cámara","Conservador Colombiano","M",NA,3,"","","","","","",NA,"agree","agree",NA,"agree"
"Adriana","Franco Castaño","068","Senador de la República","Liberal Colombiano","F",NA,4,"","","","","","",NA,"agree","agree",NA,"agree"
"Néstar Isabel","Franco Ferrer","101","Representante a la Cámara","Polo Democrático Alternativo","",NA,0,"","","","","","",NA,NA,NA,NA,NA
"Jorge Eliecer","Franco Pineda","102","Representante a la Cámara","Opción Ciudadana","",NA,0,"","","","","","",NA,NA,NA,NA,NA
"Yury","Frasser Acevedo","103","Representante a la Cámara","Alianza Social Independiente","",NA,0,"","","","","","",NA,NA,NA,NA,NA
"Emir Tadeo ","Fresneda Castiblanco","101","Representante a la Cámara","Alianza Social Independiente","M",NA,0,"","","","","","",NA,NA,NA,NA,NA
"Richard Humberto ","Fuelantala Delgado","205","Representante a la Cámara","Autoridades Indígenas de Colombia AICO","M",NA,0,"","","","","","",NA,NA,NA,NA,NA
"Maria de la Cruz","Fuentes Calderon","104","Representante a la Cámara","Polo Democrático Alternativo","",NA,0,"","","","","","",NA,NA,NA,NA,NA
"Harut Beatriz ","Fuentes Perez","102","Representante a la Cámara","Union Patriotica - Up","",NA,0,"","","","","","",NA,NA,NA,NA,NA
"José Alejandro","Fuentes Rodado","102","Representante a la Cámara","Conservador Colombiano","",NA,0,"","","","","","",NA,NA,NA,NA,NA
"Luz Magaly","Gaitan Moreno","104","Representante a la Cámara","Partido Social de Unidad Nacional - Partido de la U","",NA,0,"","","","","","",NA,NA,NA,NA,NA
"Ángel María","Gaitán Pulido","103","Representante a la Cámara","Liberal Colombiano","",NA,0,"","","","","","",NA,NA,NA,NA,NA
"Juan Manuel","Galán Pachón","100","Senador de la República","Liberal Colombiano","M",1972,8,"","agree","agree","agree","agree","","agree","agree","disagree","disagree",""
"Carlos Fernando","Galán Pachón","1","Senador de la República","Cambio Radical","M",NA,0,"","","","","agree","agree",NA,NA,NA,NA,NA
"Max Orlando","Galeano Gasca","60","Senador de la República","Polo Democrático Alternativo","M",NA,0,"","","","","","",NA,NA,NA,NA,NA
"Hector Javier","Galindo Moreno","110","Representante a la Cámara","Liberal Colombiano","M",1956,0,"agree","agree","agree","agree","agree","agree",NA,NA,NA,NA,NA
"Julio Eugenio","Gallardo Archbold","101","Representante a la Cámara","Movimiento de Integración Regional","M",1956,12,"","","","","","",NA,"agree","agree",NA,"agree"
"Marta Cecilia","Gallego Agudelo","114","Representante a la Cámara","Alianza Verde","",NA,0,"","","","","","",NA,NA,NA,NA,NA
"Yuler James ","Gallego Bedoya","104","Representante a la Cámara","Polo Democrático Alternativo","M",NA,0,"","","","","","",NA,NA,NA,NA,NA
"Fabian Andres ","Gallego Giraldo","105","Representante a la Cámara","Opción Ciudadana","",NA,0,"","","","","","",NA,NA,NA,NA,NA
"Nelys Maria","Gallego Quiroga","46","Senador de la República","MIRA","",NA,0,"","","","","","",NA,NA,NA,NA,NA
"Luis Horacio","Gallón Arango","113","Representante a la Cámara","Conservador Colombiano","",NA,0,"","","","","","",NA,NA,NA,NA,NA
"Belen Maria ","Gallor Villa","21","Senador de la República","Opción Ciudadana","F",NA,0,"","","","","","",NA,NA,NA,NA,NA
"Edinson","Galvan Garcias","303","Representante a la Cámara","Asociacion de Afro-Descendientes del Magdalena Medio - Afrodmam","",NA,0,"","","","","","",NA,NA,NA,NA,NA
"Yakeline","Galvan Lobo","023","Senador de la República","Conservador Colombiano","F",NA,0,"","","","","","",NA,NA,NA,NA,NA
"Honorio","Galvis Aguilar","35","Senador de la República","Liberal Colombiano","M",1951,6,"","","","","","","agree","agree","agree","","agree"
"Julio Roberto ","Galvis Bulla","205","Representante a la Cámara","Autoridades Indígenas de Medicina Ancestral de Colombia - Aimac","M",NA,0,"","","","","","",NA,NA,NA,NA,NA
"Daira de Jesús","Galvis Méndez","004","Senador de la República","Cambio Radical","F",1953,7,"","","","","disagree","","","","agree","",""
"Gamaliel","Gamboa Lozano","301","Representante a la Cámara","Sí Se Puede","",NA,0,"","","","","","",NA,NA,NA,NA,NA
"Cástulo","Gámez Maldonado","107","Representante a la Cámara","MIRA","",NA,0,"","","","","","",NA,NA,NA,NA,NA
"Miguel Humberto","Gámez Soto","075","Senador de la República","Cambio Radical","",NA,0,"","","","","","",NA,NA,NA,NA,NA
"Leonardo","Gañan Gañan","206","Representante a la Cámara","Movimiento Unidad Indígena y Popular por Colombia MUIPC","",NA,0,"","","","","","",NA,NA,NA,NA,NA
"José Roberto","Garay Giraldo","cerrada","Representante a la Cámara","Centro Democrático","M",1962,0,"","","","","","",NA,NA,NA,NA,NA
"Ginna Fernanda ","Garcia Aguilar","65","Senador de la República","Conservador Colombiano","F",NA,0,"","","","","","",NA,NA,NA,NA,NA
"Maria del Pilar","García Arizabaleta","39","Senador de la República","Centro Democrático","F",NA,0,"","","","","","",NA,NA,NA,NA,NA
"Luis Eduardo","García Benavides","096","Senador de la República","Cambio Radical","M",NA,0,"","","","","","",NA,NA,NA,NA,NA
"Elkin Enrique","Garcia Bernal","092","Senador de la República","Liberal Colombiano","M",NA,0,"","","","","","",NA,NA,NA,NA,NA
"Nora María","García Burgos","007","Senador de la República","Conservador Colombiano","F",1956,7,"","","","","disagree","agree","","agree","agree","agree",""
"Clara Lunik ","Garcia Cabrales","114","Representante a la Cámara","Alianza Verde","F",NA,0,"","","","","","",NA,NA,NA,NA,NA
"José Francisco","García Calume","88","Senador de la República","Cambio Radical","",NA,0,"","","","","","",NA,NA,NA,NA,NA
