"nombres","apellidos","numero.lista","corporacion","partido","genero","nacimiento","tiempo.congreso","La.eutanasia","El.sexo.antes.del.matrimonio","El.matrimonio.homosexual","El.divorcio","El.consumo.de.marihuana","El.aborto","Estatuto.de.la.Ciudadanía.Juvenil","Justicia.Penal.Militar..Fuero.Militar","Reforma.a.la.Justicia.Ejecutivo","Implementación.del.TLC.con.Estados.Unidos..Ley.Lleras.2.0","Ley.estatutaria.de.reforma.a.la.salud"
"Bonner Ahmed ","Mosquera Ramírez","106","Representante a la Cámara","Liberal Colombiano","M",NA,0,"","","","","","",NA,NA,NA,NA,NA
"Harold","Mosquera Rengifo","13","Senador de la República","Cambio Radical","",NA,0,"","","","","","",NA,NA,NA,NA,NA
"María de Jesus","Mosquera Rentería","101","Representante a la Cámara","Liberal Colombiano","",NA,0,"","","","","","",NA,NA,NA,NA,NA
"Belisaria","Mosquera Tello","30","Senador de la República","MIRA","",NA,0,"","","","","","",NA,NA,NA,NA,NA
"José Freddy","Mosquera Yepez","030","Senador de la República","Polo Democrático Alternativo","M",NA,0,"","","","","","",NA,NA,NA,NA,NA
"Carlos Fernando","Motoa Solarte","10","Senador de la República","Cambio Radical","M",1975,8,"","","","","","","","","agree","agree","agree"
"Consuelo","Moure de Ramirez","18","Senador de la República","Polo Democrático Alternativo","F",NA,0,"","","","","agree","agree",NA,NA,NA,NA,NA
"Antonio Isaac","Munera Bedoya","114","Representante a la Cámara","Opción Ciudadana","M",NA,0,"","","","","","",NA,NA,NA,NA,NA
"Hernando Jose","Munera Cavadia","105","Representante a la Cámara","Cambio Radical","M",NA,0,"","","","","","",NA,NA,NA,NA,NA
"Luz Alba","Muñeton Jaramillo","62","Senador de la República","Conservador Colombiano","F",NA,0,"","","","","","",NA,NA,NA,NA,NA
"Faber Alberto","Muñoz Ceron","104","Representante a la Cámara","Partido Social de Unidad Nacional - Partido de la U","",NA,0,"","","","","","",NA,NA,NA,NA,NA
"Mario Efrain ","Muñoz Espitia","59","Senador de la República","Liberal Colombiano","M",NA,0,"","","","","","",NA,NA,NA,NA,NA
"Jhon Fredy","Muñoz Gil","105","Representante a la Cámara","Polo Democrático Alternativo","",NA,0,"","","","","","",NA,NA,NA,NA,NA
