"MUN","DEP","CL","OIZ","MLR","JMS","EP","BLANCOS","SIN.MARCA","NULOS","POTENCIAL","TOTAL","DANE","GANADOR","VOTOS","BLANCOS.POR.CIENTO","ABTENCION"
"VENECIA","Antioquia",236,1269,532,777,97,212,27,73,10635,3223,"5861","OIZ",3223,6.57772261867825,69.6944052656323
"VIGIA DEL FUERTE","Antioquia",18,262,30,1240,15,26,14,14,5037,1619,"5873","JMS",1619,1.6059295861643,67.8578518959698
"YALI","Antioquia",96,428,186,342,32,71,10,26,5481,1191,"5885","OIZ",1191,5.96137699412259,78.2703886152162
"YARUMAL","Antioquia",1275,4198,2353,1162,502,715,106,395,31961,10706,"5887","OIZ",10706,6.67849803848309,66.5029254403805
"YOLOMBO","Antioquia",368,1790,659,817,149,256,53,81,15546,4173,"5890","OIZ",4173,6.1346752935538,73.1570822076418
"YONDO-CASABE","Antioquia",984,1082,441,1405,168,134,23,98,11075,4335,"5893","JMS",4335,3.09111880046136,60.8577878103837
"ZARAGOZA","Antioquia",573,817,501,1353,251,197,22,175,17765,3889,"5895","JMS",3889,5.06556955515557,78.1086405854208
"ARAUCA","Arauca",1517,13541,1959,4721,1208,1075,360,566,62385,24947,"81001","OIZ",24947,4.30913536697799,60.0112206459886
"ARAUQUITA","Arauca",1666,1552,570,2913,317,251,42,196,24762,7507,"81065","JMS",7507,3.3435460237112,69.6833858331314
"CRAVO NORTE","Arauca",36,620,14,264,15,44,3,17,3387,1013,"81220","OIZ",1013,4.34353405725568,70.0915264245645
"FORTUL","Arauca",758,578,233,1316,84,202,34,126,9836,3331,"81300","JMS",3331,6.06424497148004,66.1346075640504
"PUERTO RONDON","Arauca",34,729,30,245,20,53,11,15,3459,1137,"81591","OIZ",1137,4.66138962181179,67.1292281006071
"SARAVENA","Arauca",1521,3402,1195,2532,533,616,53,452,28963,10304,"81736","OIZ",10304,5.97826086956522,64.4235749059144
"TAME","Arauca",1132,4829,908,2676,311,481,58,246,29423,10641,"81794","OIZ",10641,4.52025185602857,63.8344152533732
"BARANOA","Atlántico",1573,1448,950,8910,416,391,34,93,44081,13815,"8078","JMS",13815,2.83025696706478,68.6599668791543
"BARRANQUILLA","Atlántico",36063,47154,21256,81892,17392,12320,664,2438,968361,219179,"8001","JMS",219179,5.62097646216106,77.3659823144468
"CAMPO DE LA CRUZ","Atlántico",117,1001,262,2364,59,75,5,36,18710,3919,"8137","JMS",3919,1.9137535085481,79.0539818278995
"CANDELARIA","Atlántico",44,359,66,2921,20,47,11,17,10734,3485,"8141","JMS",3485,1.34863701578192,67.5330724799702
"GALAPA","Atlántico",821,1642,493,5749,249,293,12,104,33272,9363,"8296","JMS",9363,3.12933888710883,71.8592209665785
"JUAN DE ACOSTA","Atlántico",371,769,279,2305,178,98,6,32,17379,4038,"8372","JMS",4038,2.42694403169886,76.7650612808562
"LURUACO","Atlántico",289,1382,230,3397,106,150,34,75,22715,5663,"8421","JMS",5663,2.64877273529931,75.0693374422188
"MALAMBO","Atlántico",2117,3342,1217,8457,557,573,92,216,67327,16571,"8433","JMS",16571,3.45784804779434,75.3872889034117
"MANATI","Atlántico",75,363,82,2661,25,35,7,19,12812,3267,"8436","JMS",3267,1.07131925313743,74.5004683109585
