"MUN","DEP","CL","OIZ","MLR","JMS","EP","BLANCOS","SIN.MARCA","NULOS","POTENCIAL","TOTAL","DANE","GANADOR","VOTOS","BLANCOS.POR.CIENTO","ABTENCION"
"EL TAMBO","Cauca",771,2533,1336,5825,497,487,120,397,33278,11966,"19256","JMS",11966,4.06986461641317,64.0423102349901
"FLORENCIA","Cauca",85,245,129,1136,85,51,5,28,4406,1764,"19290","JMS",1764,2.89115646258503,59.963685882887
"GUACHENE","Cauca",372,455,264,5052,248,250,27,296,11548,6964,"19300","JMS",6964,3.58989086731763,39.6951853134742
"GUAPI","Cauca",583,232,511,3140,46,121,20,133,18850,4786,"19318","JMS",4786,2.52820727120769,74.6100795755968
"INZA","Cauca",1351,1128,887,1163,180,177,56,211,15700,5153,"19355","CL",5153,3.43489229575005,67.1783439490446
"JAMBALO","Cauca",434,118,136,1758,154,209,67,147,7591,3023,"19364","JMS",3023,6.91366192523983,60.1765248320379
"LA SIERRA","Cauca",218,862,181,1254,103,171,34,105,8547,2928,"19392","JMS",2928,5.84016393442623,65.7423657423657
"LA VEGA","Cauca",359,454,635,2099,123,174,29,72,14686,3945,"19397","JMS",3945,4.4106463878327,73.1376821462618
"LOPEZ (MICAY)","Cauca",814,132,169,1890,23,33,15,32,12215,3108,"19418","JMS",3108,1.06177606177606,74.5558739255014
"MERCADERES","Cauca",340,428,512,2897,68,138,42,60,13654,4485,"19450","JMS",4485,3.07692307692308,67.1524827889263
"MIRANDA","Cauca",2326,1206,865,3921,330,367,35,346,17814,9396,"19455","JMS",9396,3.90591741166454,47.2549680026945
"MORALES","Cauca",468,929,832,2927,209,249,54,124,17411,5792,"19473","JMS",5792,4.29903314917127,66.7336741140658
"PADILLA","Cauca",181,140,69,2733,37,146,15,140,6298,3461,"19513","JMS",3461,4.2184339786189,45.0460463639251
"PAEZ (BELALCAZAR)","Cauca",722,1152,697,3012,235,322,92,295,18450,6527,"19517","JMS",6527,4.93335376129922,64.6233062330623
"PATIA (EL BORDO)","Cauca",1544,1434,662,2228,251,297,38,188,24751,6642,"19532","JMS",6642,4.47154471544715,73.1647206173488
"PIAMONTE","Cauca",175,484,193,298,84,112,9,41,4591,1396,"19533","OIZ",1396,8.02292263610315,69.5926813330429
"PIENDAMO","Cauca",1065,1971,2144,2393,549,542,80,279,25260,9023,"19548","JMS",9023,6.00687132882633,64.2794932699921
"POPAYAN","Cauca",18047,19472,17196,22865,9526,5876,254,2271,212419,95507,"19001","JMS",95507,6.15242861779765,55.0383911043739
"PUERTO TEJADA","Cauca",1555,1017,986,8542,493,691,43,655,30555,13982,"19573","JMS",13982,4.94206837362323,54.2398952708231
"PURACE (COCONUCO)","Cauca",320,510,300,1432,78,135,25,84,8219,2884,"19585","JMS",2884,4.68099861303745,64.9105730624163
"ROSAS","Cauca",225,777,290,1594,72,131,41,103,8158,3233,"19622","JMS",3233,4.05196412001237,60.3701887717578
"SAN SEBASTIAN","Cauca",58,610,47,2433,82,66,33,28,6980,3357,"19693","JMS",3357,1.96604110813226,51.9054441260745
"SANTA ROSA","Cauca",111,331,119,433,34,70,12,25,3931,1135,"19701","JMS",1135,6.16740088105727,71.1269397099975
"SANTANDER DE QUILICHAO","Cauca",4846,5446,3748,9725,1855,1628,128,1289,68797,28665,"19698","JMS",28665,5.67939996511425,58.3339389798974
"SILVIA","Cauca",1085,798,996,4192,364,337,89,319,20946,8180,"19743","JMS",8180,4.119804400978,60.9471975556192
"SOTARA (PAISPAMBA)","Cauca",193,497,253,1468,65,109,29,71,6972,2685,"19760","JMS",2685,4.05959031657356,61.4888123924269
"SUAREZ","Cauca",331,700,245,3199,138,268,49,170,15309,5100,"19780","JMS",5100,5.25490196078431,66.6862629825593
"SUCRE","Cauca",274,101,47,747,63,52,12,23,5111,1319,"19785","JMS",1319,3.94238059135709,74.1929172373312
"TIMBIO","Cauca",848,2447,1722,3359,797,451,63,326,23590,10013,"19807","JMS",10013,4.50414461200439,57.5540483255617
"TIMBIQUI","Cauca",549,227,548,2960,116,80,126,102,13709,4708,"19809","JMS",4708,1.69923534409516,65.6575971989204
"TORIBIO","Cauca",852,219,246,3791,254,381,87,317,15697,6147,"19821","JMS",6147,6.19814543679844,60.8396508887048
"TOTORO","Cauca",275,390,376,1812,191,128,30,85,9925,3287,"19824","JMS",3287,3.89412838454518,66.8816120906801
"VILLA RICA","Cauca",677,413,449,4061,195,208,28,302,12124,6333,"19845","JMS",6333,3.2843833885994,47.764764104256
"AGUACHICA","Cesar",2292,9848,2237,7952,999,907,73,576,60268,24884,"20011","OIZ",24884,3.64491239350587,58.7110904626004
"AGUSTIN CODAZZI","Cesar",1675,4640,629,4717,492,391,38,228,41695,12810,"20013","JMS",12810,3.05230288836846,69.2768917136347
"ASTREA","Cesar",384,1544,154,2453,49,92,15,54,12844,4745,"20032","JMS",4745,1.93888303477345,63.0566801619433
"BECERRIL","Cesar",713,1110,217,2445,213,149,14,67,13375,4928,"20045","JMS",4928,3.02353896103896,63.1551401869159
"BOSCONIA","Cesar",1016,2453,584,2326,283,246,329,162,24412,7399,"20060","OIZ",7399,3.32477361805649,69.6911355071276
"CHIMICHAGUA","Cesar",991,2548,525,2997,153,126,21,83,22913,7444,"20175","JMS",7444,1.69263836646964,67.5118928119408
"CHIRIGUANA","Cesar",930,2132,356,2093,115,146,24,70,19212,5866,"20178","OIZ",5866,2.48891919536311,69.4669997917968
"CURUMANI","Cesar",1260,2265,573,4542,126,236,30,138,23403,9170,"20228","JMS",9170,2.57360959651036,60.8169892748793
"EL COPEY","Cesar",585,2287,473,3025,148,214,21,112,21152,6865,"20238","JMS",6865,3.11726147123088,67.5444402420575
"EL PASO","Cesar",971,1308,337,3599,160,188,13,112,17726,6688,"20250","JMS",6688,2.811004784689,62.2701117003272
"GAMARRA","Cesar",226,1243,377,2360,43,56,9,38,9877,4352,"20295","JMS",4352,1.28676470588235,55.9380378657487
"GONZALEZ","Cesar",119,292,134,855,36,64,3,27,3940,1530,"20310","JMS",1530,4.18300653594771,61.1675126903553
"LA GLORIA","Cesar",304,1189,194,2195,49,70,12,53,10139,4066,"20383","JMS",4066,1.72159370388588,59.8974257816353
"LA JAGUA DE IBIRICO","Cesar",2136,1247,546,5060,369,313,22,151,21657,9844,"20400","JMS",9844,3.1796017878911,54.5458743131551
"LA PAZ","Cesar",340,2121,261,2738,132,142,13,63,18182,5810,"20621","JMS",5810,2.44406196213425,68.0453195468045
"MANAURE BALCON DEL CESAR (MANA","Cesar",211,702,180,1595,52,49,10,44,6399,2843,"20443","JMS",2843,1.72353148083011,55.5711829973433
"PAILITAS","Cesar",530,778,191,3055,135,103,13,78,13055,4883,"20517","JMS",4883,2.10935900061438,62.5967062428188
"PELAYA","Cesar",367,1331,226,2373,104,128,20,59,12570,4608,"20550","JMS",4608,2.77777777777778,63.3412887828162
"PUEBLO BELLO","Cesar",492,1098,120,1679,86,112,26,62,14106,3675,"20570","JMS",3675,3.04761904761905,73.9472564866014
"RIO DE ORO","Cesar",612,1825,375,1492,131,153,22,85,13965,4695,"20614","OIZ",4695,3.25878594249201,66.3802363050483
"SAN ALBERTO","Cesar",864,2092,727,2161,281,259,34,130,17149,6548,"20710","JMS",6548,3.9554062309102,61.817015569421
"SAN DIEGO","Cesar",198,1423,267,2253,239,185,18,46,12853,4629,"20750","JMS",4629,3.99654352992007,63.9850618532638
"SAN MARTIN","Cesar",776,1808,881,1949,158,151,23,113,13115,5859,"20770","JMS",5859,2.57723160948967,55.3259626382005
"TAMALAMEQUE","Cesar",297,716,141,2378,23,66,5,77,9817,3703,"20787","JMS",3703,1.78233864434243,62.2797188550474
"VALLEDUPAR","Cesar",10564,23346,8293,34568,5662,4013,489,1602,259852,88537,"20001","JMS",88537,4.53256830477653,65.9279128119083
"ACANDI","Chocó",54,635,107,1688,53,57,11,34,7918,2639,"27006","JMS",2639,2.15990905646078,66.6708764839606
"ALTO BAUDO (PIE DE PATO)","Chocó",166,103,29,1744,576,44,17,42,8974,2721,"27025","JMS",2721,1.61705255420801,69.6790728772008
"ATRATO (YUTO)","Chocó",142,503,199,1493,73,126,17,94,8722,2647,"27050","JMS",2647,4.76010578012845,69.6514560880532
"BAGADO","Chocó",39,350,128,953,38,38,18,31,8679,1595,"27073","JMS",1595,2.38244514106583,81.6223067173638
"BAHIA SOLANO (MUTIS)","Chocó",168,387,106,1465,45,49,12,32,6989,2264,"27075","JMS",2264,2.1643109540636,67.6062383745886
"BAJO BAUDO (PIZARRO)","Chocó",64,376,152,1974,42,22,26,39,9607,2695,"27077","JMS",2695,0.816326530612245,71.9475382533569
"BOJAYA (BELLAVISTA)","Chocó",19,263,40,709,8,30,7,15,6585,1091,"27099","JMS",1091,2.74977085242896,83.4320425208808
"CARMEN DEL DARIEN","Chocó",83,141,36,978,7,17,7,31,5257,1300,"27150","JMS",1300,1.30769230769231,75.2710671485638
"CERTEGUI","Chocó",68,312,230,730,50,55,19,41,4044,1505,"27160","JMS",1505,3.65448504983389,62.784371909001
"CONDOTO","Chocó",322,593,650,699,127,174,22,138,10167,2725,"27205","JMS",2725,6.38532110091743,73.197600078686
"EL CANTON DEL SAN PABLO (MAN.","Chocó",68,327,83,696,43,80,11,39,4256,1347,"27135","JMS",1347,5.93912397921307,68.3505639097744
"EL CARMEN","Chocó",120,500,434,557,63,106,14,46,5556,1840,"27245","JMS",1840,5.76086956521739,66.882649388049
"EL LITORAL DEL SAN JUAN","Chocó",159,36,47,1219,29,26,9,24,6876,1549,"27250","JMS",1549,1.67850225952227,77.4723676556137
"ISTMINA","Chocó",686,1256,1195,1605,266,429,51,192,20146,5680,"27361","JMS",5680,7.55281690140845,71.8058175320163
"JURADO","Chocó",16,183,35,374,9,21,5,5,2866,648,"27372","JMS",648,3.24074074074074,77.3900907187718
"LLORO","Chocó",62,518,140,1509,62,68,26,99,7397,2484,"27413","JMS",2484,2.73752012882448,66.4188184399081
"MEDIO ATRATO (BETE)","Chocó",152,153,47,784,44,43,7,32,5670,1262,"27425","JMS",1262,3.40729001584786,77.7425044091711
"MEDIO BAUDO (PUERTO MELUK)","Chocó",38,402,85,1167,46,83,20,30,7044,1871,"27430","JMS",1871,4.43613041154463,73.4383872799546
"MEDIO SAN JUAN","Chocó",204,211,250,987,147,124,43,117,7376,2083,"27450","JMS",2083,5.95295247239558,71.7597613882863
"NOVITA","Chocó",113,371,190,354,51,80,28,67,5055,1254,"27491","OIZ",1254,6.37958532695375,75.1928783382789
"NUQUI","Chocó",42,162,91,890,17,34,7,22,5282,1265,"27495","JMS",1265,2.68774703557312,76.0507383566831
"QUIBDO","Chocó",2331,5794,2432,9632,1174,1695,151,1483,73678,24692,"27001","JMS",24692,6.86457152114045,66.4866038708977
"RIO IRO","Chocó",52,205,83,785,32,35,35,38,3669,1265,"27580","JMS",1265,2.76679841897233,65.5219405832652
"RIO QUITO (PAIMADO)","Chocó",91,463,180,1619,47,61,18,70,5885,2549,"27600","JMS",2549,2.39309533150255,56.6864910790144
"RIOSUCIO","Chocó",59,278,121,2205,33,43,97,42,12863,2878,"27615","JMS",2878,1.49409312022238,77.6257482702324
"SAN JOSE DEL PALMAR","Chocó",112,180,118,751,36,50,14,29,4095,1290,"27660","JMS",1290,3.87596899224806,68.4981684981685
"SIPI","Chocó",47,151,111,195,46,24,79,37,2405,690,"27745","JMS",690,3.47826086956522,71.3097713097713
"TADO","Chocó",244,984,879,1608,76,140,58,190,11713,4179,"27787","JMS",4179,3.3500837520938,64.3216938444463
"UNGUIA","Chocó",36,290,113,1052,40,223,31,68,8167,1853,"27800","JMS",1853,12.0345385860766,77.3111301579527
"UNION PANAMERICANA (LAS ANIMAS","Chocó",117,448,340,721,57,70,13,48,4893,1814,"27810","JMS",1814,3.85887541345094,62.9266298794196
"AYAPEL","Córdoba",548,3301,599,4861,135,220,36,117,31026,9817,"23068","JMS",9817,2.24101049200367,68.3587958486431
"BUENAVISTA","Córdoba",423,1505,263,4356,84,84,27,76,17636,6818,"23079","JMS",6818,1.23203285420945,61.3404400090724
"CANALETE","Córdoba",194,728,212,3257,44,77,15,39,15668,4566,"23090","JMS",4566,1.68637757336838,70.8577993362267
"CERETE","Córdoba",2267,7646,2847,8508,870,1169,57,387,68558,23751,"23162","JMS",23751,4.9218980253463,65.3563406167041
"CHIMA","Córdoba",216,963,339,3117,50,100,11,42,12491,4838,"23168","JMS",4838,2.0669698222406,61.2681130413898
"CHINU","Córdoba",766,6228,1113,7141,274,460,54,245,33856,16281,"23182","JMS",16281,2.82537927645722,51.9110349716446
"CIENAGA DE ORO","Córdoba",973,4300,1185,6506,434,625,47,213,40078,14283,"23189","JMS",14283,4.37583140796751,64.3619941114826
"COTORRA (BONGO)","Córdoba",264,2134,369,2901,111,92,16,39,13103,5926,"23300","JMS",5926,1.55248059399257,54.7737159429138
"LA APARTADA (FRONTERA)","Córdoba",218,732,221,2844,168,129,29,61,12801,4402,"23350","JMS",4402,2.93048614266243,65.6120615576908
"LORICA","Córdoba",2056,7452,1881,19689,534,974,67,357,80807,33010,"23417","JMS",33010,2.95062102393214,59.1495786256141
"LOS CORDOBAS","Córdoba",130,1084,328,2822,63,48,21,42,13167,4538,"23419","JMS",4538,1.05773468488321,65.5350497455761
"MOMIL","Córdoba",308,1550,409,2821,90,171,13,39,12514,5401,"23464","JMS",5401,3.16608035548972,56.840338820521
"MONTELIBANO","Córdoba",1792,2862,1522,9673,1112,888,67,324,52228,18240,"23466","JMS",18240,4.86842105263158,65.0762043348395
"MONTERIA","Córdoba",8348,39472,11124,30841,3389,4709,387,1516,285538,99786,"23001","OIZ",99786,4.71909887158519,65.0533379094902
"MOÑITOS","Córdoba",339,2161,152,3402,89,108,24,58,17586,6333,"23500","JMS",6333,1.70535291331123,63.9883998635278
"PLANETA RICA","Córdoba",833,3844,2075,10175,350,664,255,246,50770,18442,"23555","JMS",18442,3.60047717167335,63.6753988575931
"PUEBLO NUEVO","Córdoba",357,1793,639,5718,203,175,20,89,22661,8994,"23570","JMS",8994,1.94574160551479,60.3106659017696
"PUERTO ESCONDIDO","Córdoba",258,1608,320,3445,81,95,59,46,17415,5912,"23574","JMS",5912,1.60690121786198,66.0522538041918
"PUERTO LIBERTADOR","Córdoba",710,949,350,6126,177,154,12,138,24405,8616,"23580","JMS",8616,1.78737233054782,64.6957590657652
"PURISIMA","Córdoba",294,1191,617,3070,108,103,20,66,13040,5469,"23586","JMS",5469,1.88334247577254,58.0598159509202
"SAHAGUN","Córdoba",1767,5827,1340,20279,569,790,70,333,76537,30975,"23660","JMS",30975,2.55044390637611,59.5293779479206
"SAN ANDRES DE SOTAVENTO","Córdoba",399,1203,1595,7185,213,155,60,134,26668,10944,"23670","JMS",10944,1.41630116959064,58.9620518974051
"SAN ANTERO","Córdoba",354,1992,390,4650,159,157,34,86,19994,7822,"23672","JMS",7822,2.00715929429813,60.8782634790437
"SAN BERNARDO DEL VIENTO","Córdoba",408,1833,271,5374,171,170,19,66,25832,8312,"23675","JMS",8312,2.04523580365736,67.8228553731805
"SAN CARLOS","Córdoba",298,1670,431,2084,89,139,13,41,19432,4765,"23678","JMS",4765,2.91710388247639,75.4785920131742
"SAN JOSE DE URE","Córdoba",111,307,93,2124,108,43,8,33,6928,2827,"23682","JMS",2827,1.52104704633888,59.1945727482679
"SAN PELAYO","Córdoba",579,2993,1278,6787,239,290,19,129,34841,12314,"23686","JMS",12314,2.35504304044177,64.6565827616888
"TIERRALTA","Córdoba",1187,3366,819,8157,379,503,68,215,57470,14694,"23807","JMS",14694,3.42316591806179,74.431877501305
"TUCHIN","Córdoba",354,2146,1753,2269,76,84,36,138,19690,6856,"23815","JMS",6856,1.22520420070012,65.1802945657694
"VALENCIA","Córdoba",299,2106,500,6055,124,214,35,98,24420,9431,"23855","JMS",9431,2.26911250132542,61.3800163800164
"AGUA DE DIOS","Cundinamarca",560,1013,707,1554,142,223,14,120,9407,4333,"25001","JMS",4333,5.14654973459497,53.9385563941745
"ALBAN","Cundinamarca",181,792,550,270,66,82,3,56,4795,2000,"25019","OIZ",2000,4.1,58.2898852971846
"ANAPOIMA","Cundinamarca",318,2543,469,1314,179,161,5,76,10626,5065,"25035","OIZ",5065,3.1786771964462,52.3338979860719
"ANOLAIMA","Cundinamarca",323,2094,520,992,145,201,14,93,11067,4382,"25040","OIZ",4382,4.58694659972615,60.404807084124
"APULO","Cundinamarca",227,1247,267,956,54,90,14,50,6717,2905,"25599","OIZ",2905,3.09810671256454,56.7515259788596
"ARBELAEZ","Cundinamarca",388,1763,1212,543,196,161,9,85,8300,4357,"25053","OIZ",4357,3.69520312141382,47.5060240963855
"BELTRAN","Cundinamarca",31,312,30,311,25,21,10,13,2003,753,"25086","OIZ",753,2.78884462151394,62.4063904143784
"BITUIMA","Cundinamarca",33,433,132,224,25,37,2,18,2844,904,"25095","OIZ",904,4.0929203539823,68.2137834036568
"BOJACA","Cundinamarca",410,887,780,750,186,187,10,173,5315,3383,"25099","OIZ",3383,5.52763819095477,36.3499529633114
"CABRERA","Cundinamarca",409,247,83,315,21,60,3,33,3282,1171,"25120","CL",1171,5.12382578992314,64.320536258379
"CACHIPAY","Cundinamarca",313,1385,567,1206,137,202,12,88,8509,3910,"25123","OIZ",3910,5.16624040920716,54.0486543659654
"CAJICA","Cundinamarca",3258,3879,5128,2584,2521,1318,33,520,34539,19241,"25126","MLR",19241,6.8499558235019,44.2919598135441
"CAPARRAPI","Cundinamarca",100,1953,354,876,42,117,37,48,10272,3527,"25148","OIZ",3527,3.3172667989793,65.6639408099688
"CAQUEZA","Cundinamarca",891,2670,1432,693,277,344,17,191,14097,6515,"25151","OIZ",6515,5.28012279355334,53.7844931545719
"CARMEN DE CARUPA","Cundinamarca",124,517,1326,198,74,111,8,47,6025,2405,"25154","MLR",2405,4.61538461538461,60.0829875518672
"CHAGUANI","Cundinamarca",45,618,92,294,18,40,6,18,3725,1131,"25168","OIZ",1131,3.53669319186561,69.6375838926175
"CHIA","Cundinamarca",6566,9063,9295,6620,6561,2978,67,881,77779,42031,"25175","MLR",42031,7.08524660369727,45.9609920415536
"CHIPAQUE","Cundinamarca",349,1889,531,442,91,131,6,76,6993,3515,"25178","OIZ",3515,3.72688477951636,49.7354497354497
"CHOACHI","Cundinamarca",492,2418,1045,477,225,277,13,129,11062,5076,"25181","OIZ",5076,5.45705279747833,54.1131802567348
"CHOCONTA","Cundinamarca",724,1698,2754,824,241,349,28,224,13526,6842,"25183","MLR",6842,5.10084770534931,49.4159396717433
"COGUA","Cundinamarca",983,1127,2775,614,379,328,17,155,12219,6378,"25200","MLR",6378,5.14267795547193,47.8026025042966
"COTA","Cundinamarca",1533,2695,2253,1686,1441,731,17,217,20752,10573,"25214","OIZ",10573,6.91383713231817,49.0506939090208
"CUCUNUBA","Cundinamarca",171,439,1620,210,70,94,4,71,4530,2679,"25224","MLR",2679,3.50877192982456,40.8609271523179
"EL COLEGIO","Cundinamarca",815,3416,1255,1876,256,250,20,124,18346,8012,"25245","OIZ",8012,3.12031952071892,56.3283549547585
"EL PEÑON","Cundinamarca",36,1171,94,207,29,29,15,14,4283,1595,"25258","OIZ",1595,1.81818181818182,62.7597478402989
"EL ROSAL","Cundinamarca",679,3488,1864,923,366,415,20,383,12280,8138,"25260","OIZ",8138,5.09953305480462,33.7296416938111
"FACATATIVA","Cundinamarca",8181,11577,12060,5953,3691,3557,81,2050,80720,47150,"25269","MLR",47150,7.5440084835631,41.5882061446977
"FOMEQUE","Cundinamarca",331,2934,527,453,141,166,18,74,9188,4644,"25279","OIZ",4644,3.57450473729544,49.4558119286025
"FOSCA","Cundinamarca",158,1431,367,186,37,58,7,20,5353,2264,"25281","OIZ",2264,2.56183745583039,57.7059592751728
"FUNZA","Cundinamarca",5232,7279,7822,5025,2534,2487,38,1173,55981,31590,"25286","MLR",31590,7.87274453941121,43.5701398688841
"FUQUENE","Cundinamarca",182,342,521,331,92,99,4,34,3690,1605,"25288","MLR",1605,6.16822429906542,56.5040650406504
"FUSAGASUGA","Cundinamarca",6518,16490,6449,7324,2700,2446,97,1282,91223,43306,"25290","OIZ",43306,5.64817808155914,52.5273231531522
"GACHALA","Cundinamarca",107,894,210,525,49,71,13,20,5076,1889,"25293","OIZ",1889,3.75860243515087,62.785657998424
"GACHANCIPA","Cundinamarca",707,1059,1820,670,264,285,10,212,8519,5027,"25295","MLR",5027,5.66938531927591,40.9907266111046
"GACHETA","Cundinamarca",278,2205,386,565,109,200,34,83,9198,3860,"25297","OIZ",3860,5.18134715025907,58.0343552946293
"GAMA","Cundinamarca",61,651,222,226,25,44,8,25,3045,1262,"25299","OIZ",1262,3.486529318542,58.5550082101806
"GIRARDOT","Cundinamarca",4560,10141,5638,8884,2314,1903,59,1073,79200,34572,"25307","OIZ",34572,5.50445447182691,56.3484848484849
"GRANADA","Cundinamarca",312,1218,231,414,115,170,9,103,5442,2572,"25312","OIZ",2572,6.60964230171073,52.7379639838295
"GUACHETA","Cundinamarca",423,795,1175,537,206,348,17,169,8306,3670,"25317","MLR",3670,9.48228882833788,55.8150734408861
"GUADUAS","Cundinamarca",641,3421,1161,1924,327,496,37,270,21444,8277,"25320","OIZ",8277,5.99250936329588,61.4017907106883
"GUASCA","Cundinamarca",694,1296,1499,567,232,329,15,118,9617,4750,"25322","MLR",4750,6.92631578947368,50.6082978059686
"GUATAQUI","Cundinamarca",44,253,45,298,9,30,6,10,2086,695,"25324","JMS",695,4.31654676258993,66.6826462128476
"GUATAVITA","Cundinamarca",214,768,912,215,130,108,6,53,4747,2406,"25326","MLR",2406,4.48877805486284,49.3153570676217
"GUAYABAL DE SIQUIMA","Cundinamarca",134,783,333,298,49,52,11,19,3524,1679,"25328","OIZ",1679,3.09708159618821,52.3552780930761
"GUAYABETAL","Cundinamarca",132,1381,287,240,50,75,15,51,4285,2231,"25335","OIZ",2231,3.36172120125504,47.9346557759627
"GUTIERREZ","Cundinamarca",39,1102,174,135,16,37,0,18,2631,1521,"25339","OIZ",1521,2.43261012491782,42.1892816419612
"JERUSALEN","Cundinamarca",39,533,56,261,11,21,4,6,2709,931,"25368","OIZ",931,2.25563909774436,65.6330749354005
"JUNIN","Cundinamarca",157,1069,290,327,45,85,22,48,5483,2043,"25372","OIZ",2043,4.16054821341165,62.7393762538756
"LA CALERA","Cundinamarca",2522,1746,2247,1266,964,702,17,272,19108,9736,"25377","CL",9736,7.21035332785538,49.0475193636173
"LA MESA","Cundinamarca",956,3510,1307,2684,530,429,29,209,22404,9654,"25386","OIZ",9654,4.44375388440025,56.9094804499197
"LA PALMA","Cundinamarca",99,1051,155,1070,41,86,21,64,8665,2587,"25394","JMS",2587,3.3243138770777,70.1442585112522
"LA PEÑA","Cundinamarca",50,1766,214,243,16,59,23,44,5503,2415,"25398","OIZ",2415,2.44306418219462,56.1148464473923
"LA VEGA","Cundinamarca",499,2251,770,1344,258,324,17,163,11652,5626,"25402","OIZ",5626,5.75897618201209,51.7164435290079
"LENGUAZAQUE","Cundinamarca",172,825,1937,189,57,100,6,56,6606,3342,"25407","MLR",3342,2.99222022740874,49.4096276112625
"MACHETA","Cundinamarca",172,1035,477,355,109,115,3,53,6157,2319,"25426","OIZ",2319,4.95903406640793,62.3355530290726
"MADRID","Cundinamarca",4653,6688,8093,3478,2016,1816,50,1204,49707,27998,"25430","MLR",27998,6.48617758411315,43.67392922526
"MANTA","Cundinamarca",101,793,430,420,29,52,5,18,4020,1848,"25436","OIZ",1848,2.81385281385281,54.0298507462687
"MEDINA","Cundinamarca",115,1794,454,419,67,73,11,31,6728,2964,"25438","OIZ",2964,2.46288798920378,55.9453032104637
"MOSQUERA","Cundinamarca",5009,7199,6674,4612,2383,2069,51,968,51230,28965,"25473","OIZ",28965,7.14310374590022,43.4608627757174
"NARIÑO","Cundinamarca",73,247,129,317,19,24,9,12,2463,830,"25483","JMS",830,2.89156626506024,66.3012586276898
"NEMOCON","Cundinamarca",580,865,1592,822,321,238,9,172,8334,4599,"25486","MLR",4599,5.17503805175038,44.8164146868251
"NILO","Cundinamarca",213,989,274,794,84,61,6,40,6149,2461,"25488","OIZ",2461,2.47866720845185,59.9772320702553
"NIMAIMA","Cundinamarca",44,857,145,287,30,45,8,23,3071,1439,"25489","OIZ",1439,3.12717164697707,53.1422989254315
"NOCAIMA","Cundinamarca",301,950,300,419,99,126,5,52,5135,2252,"25491","OIZ",2252,5.59502664298401,56.1441090555015
"PACHO","Cundinamarca",473,3449,1723,2220,263,442,23,246,19875,8839,"25513","OIZ",8839,5.0005656748501,55.5270440251572
"PAIME","Cundinamarca",62,710,99,710,13,30,15,9,4433,1648,"25518","EMPATE",1648,1.82038834951456,62.8242725016919
"PANDI","Cundinamarca",158,583,269,469,46,47,4,31,4012,1607,"25524","OIZ",1607,2.9247044181705,59.9451645064806
"PARATEBUENO (LA NAGUAYA)","Cundinamarca",170,1889,384,705,74,102,15,95,6905,3434,"25530","OIZ",3434,2.97029702970297,50.2679217958001
"PASCA","Cundinamarca",893,772,494,555,105,105,8,81,7051,3013,"25535","CL",3013,3.48489877198805,57.2684725570841
"PUERTO SALGAR","Cundinamarca",675,1840,573,1154,192,213,21,246,13044,4914,"25572","OIZ",4914,4.33455433455433,62.327506899724
"PULI","Cundinamarca",35,667,86,242,21,26,3,15,2817,1095,"25580","OIZ",1095,2.37442922374429,61.1288604898829
"QUEBRADANEGRA","Cundinamarca",70,1146,241,245,31,78,8,31,3891,1850,"25592","OIZ",1850,4.21621621621622,52.4543819069648
"QUETAME","Cundinamarca",314,1161,587,237,56,122,9,47,5261,2533,"25594","OIZ",2533,4.81642321358073,51.853259836533
"QUIPILE","Cundinamarca",124,1467,180,382,36,52,27,46,6084,2314,"25596","OIZ",2314,2.24719101123596,61.965811965812
"RICAURTE","Cundinamarca",334,1288,435,1673,188,197,10,86,9961,4211,"25612","JMS",4211,4.67822369983377,57.7251279991969
"SAN ANTONIO DEL TEQUENDAMA","Cundinamarca",397,1232,540,882,209,132,4,90,8190,3486,"25645","OIZ",3486,3.78657487091222,57.4358974358974
"SAN BERNARDO","Cundinamarca",290,1399,595,612,54,102,7,69,7614,3128,"25649","OIZ",3128,3.26086956521739,58.9177830312582
"SAN CAYETANO","Cundinamarca",83,668,185,324,14,31,10,18,4348,1333,"25653","OIZ",1333,2.32558139534884,69.3422263109476
"SAN FRANCISCO","Cundinamarca",254,1828,552,528,228,210,12,62,7842,3674,"25658","OIZ",3674,5.71584104518236,53.1497067074726
"SAN JUAN DE RIOSECO","Cundinamarca",284,1587,219,1013,96,138,23,91,8876,3451,"25662","OIZ",3451,3.99884091567662,61.1198738170347
"SASAIMA","Cundinamarca",262,1601,786,702,118,139,10,89,8417,3707,"25718","OIZ",3707,3.7496628001079,55.9581798740644
"SESQUILE","Cundinamarca",599,753,1441,416,198,243,11,162,7304,3823,"25736","MLR",3823,6.35626471357573,47.6588170865279
"SIBATE","Cundinamarca",2087,2856,2908,1409,749,677,22,471,22986,11179,"25740","MLR",11179,6.05599785311745,51.36604889933
"SILVANIA","Cundinamarca",769,3551,769,1388,270,253,29,144,16048,7173,"25743","OIZ",7173,3.52711557228496,55.3028414755733
"SIMIJACA","Cundinamarca",337,1049,1523,562,191,163,14,135,8220,3974,"25745","MLR",3974,4.1016607951686,51.654501216545
"SOACHA","Cundinamarca",19386,22469,18607,18055,6952,6192,166,3325,190969,95152,"25754","OIZ",95152,6.50748276441904,50.1741120286539
"SOPO","Cundinamarca",1410,1499,2996,1451,1055,684,16,263,14970,9374,"25758","MLR",9374,7.29677832302112,37.3814295257181
"SUBACHOQUE","Cundinamarca",517,2305,1793,656,433,390,15,223,10630,6332,"25769","OIZ",6332,6.15919140871762,40.4327375352775
