"MUN","DEP","CL","OIZ","MLR","JMS","EP","BLANCOS","SIN.MARCA","NULOS","POTENCIAL","TOTAL","DANE","GANADOR"
"ZARAGOZA","Antioquia",573,817,501,1353,251,197,22,175,17765,3889,"5895","JMS"
"ARAUCA","Arauca",1517,13541,1959,4721,1208,1075,360,566,62385,24947,"81001","OIZ"
"ARAUQUITA","Arauca",1666,1552,570,2913,317,251,42,196,24762,7507,"81065","JMS"
"CRAVO NORTE","Arauca",36,620,14,264,15,44,3,17,3387,1013,"81220","OIZ"
"FORTUL","Arauca",758,578,233,1316,84,202,34,126,9836,3331,"81300","JMS"
"PUERTO RONDON","Arauca",34,729,30,245,20,53,11,15,3459,1137,"81591","OIZ"
"SARAVENA","Arauca",1521,3402,1195,2532,533,616,53,452,28963,10304,"81736","OIZ"
"TAME","Arauca",1132,4829,908,2676,311,481,58,246,29423,10641,"81794","OIZ"
"BARANOA","Atlántico",1573,1448,950,8910,416,391,34,93,44081,13815,"8078","JMS"
"BARRANQUILLA","Atlántico",36063,47154,21256,81892,17392,12320,664,2438,968361,219179,"8001","JMS"
"CAMPO DE LA CRUZ","Atlántico",117,1001,262,2364,59,75,5,36,18710,3919,"8137","JMS"
"CANDELARIA","Atlántico",44,359,66,2921,20,47,11,17,10734,3485,"8141","JMS"
"GALAPA","Atlántico",821,1642,493,5749,249,293,12,104,33272,9363,"8296","JMS"
"JUAN DE ACOSTA","Atlántico",371,769,279,2305,178,98,6,32,17379,4038,"8372","JMS"
"LURUACO","Atlántico",289,1382,230,3397,106,150,34,75,22715,5663,"8421","JMS"
"MALAMBO","Atlántico",2117,3342,1217,8457,557,573,92,216,67327,16571,"8433","JMS"
"MANATI","Atlántico",75,363,82,2661,25,35,7,19,12812,3267,"8436","JMS"
"PALMAR DE VARELA","Atlántico",486,440,199,3598,104,175,12,29,19081,5043,"8520","JMS"
"PIOJO","Atlántico",30,499,34,1083,15,22,4,14,5662,1701,"8549","JMS"
"POLONUEVO","Atlántico",438,315,212,2919,106,115,12,47,11647,4164,"8558","JMS"
"PONEDERA","Atlántico",131,1367,146,2589,203,73,15,37,17219,4561,"8560","JMS"
"PUERTO COLOMBIA","Atlántico",1093,1406,599,4478,738,344,18,72,30558,8748,"8573","JMS"
"REPELON","Atlántico",243,481,142,5494,66,106,15,56,17487,6603,"8606","JMS"
"SABANAGRANDE","Atlántico",600,1055,448,3973,257,333,35,65,22004,6766,"8634","JMS"
"SABANALARGA","Atlántico",1160,2485,1090,16416,579,590,58,201,61435,22579,"8638","JMS"
"SANTA LUCIA","Atlántico",80,504,63,1786,84,16,6,14,9210,2553,"8675","JMS"
"SANTO TOMAS","Atlántico",1273,881,444,3021,241,245,22,31,24929,6158,"8685","JMS"
"SOLEDAD","Atlántico",9347,9775,4596,23942,2840,2596,344,652,253922,54092,"8758","JMS"
"SUAN","Atlántico",62,342,59,2693,27,36,2,27,9273,3248,"8770","JMS"
"TUBARA","Atlántico",331,423,287,2243,102,71,141,11,9569,3609,"8832","JMS"
"USIACURI","Atlántico",122,185,106,1890,71,51,6,20,7300,2451,"8849","JMS"
"BOGOTA. D.C.","Bogotá",501302,542432,366878,444051,392742,207783,4058,54989,5204003,2514235,"11001","OIZ"
"ACHI","Bolívar",148,3909,121,1136,61,57,30,36,15286,5498,"13006","OIZ"
"ALTOS DEL ROSARIO","Bolívar",113,724,27,1255,20,28,11,25,6207,2203,"13030","JMS"
"ARENAL","Bolívar",179,315,149,843,21,28,4,11,5302,1550,"13042","JMS"
"ARJONA","Bolívar",1628,3226,869,4869,676,764,47,187,48396,12266,"13052","JMS"
"ARROYO HONDO","Bolívar",77,804,72,799,24,14,5,27,6550,1822,"13062","OIZ"
"BARRANCO DE LOBA","Bolívar",263,1759,90,1369,39,30,19,91,10513,3660,"13074","OIZ"
"CALAMAR","Bolívar",309,1940,189,2841,69,117,25,86,16955,5576,"13140","JMS"
"CANTAGALLO","Bolívar",316,368,332,637,29,44,10,11,5946,1747,"13160","JMS"
"CARTAGENA","Bolívar",30538,45581,13266,37776,15044,9366,490,1603,692257,153664,"13001","OIZ"
"CICUCO","Bolívar",245,554,103,2143,31,39,8,21,8744,3144,"13188","JMS"
"CLEMENCIA","Bolívar",225,647,119,1703,107,56,9,47,9561,2913,"13222","JMS"
"CORDOBA","Bolívar",181,1733,88,3590,24,52,24,21,12934,5713,"13212","JMS"
"EL CARMEN DE BOLIVAR","Bolívar",450,8800,354,7096,170,382,183,249,50793,17684,"13244","OIZ"
"EL GUAMO","Bolívar",46,691,39,1481,13,34,5,23,7055,2332,"13248","JMS"
"EL PEÑON","Bolívar",135,732,64,836,11,17,3,9,5485,1807,"13268","JMS"
"HATILLO DE LOBA","Bolívar",262,1672,78,1271,15,23,13,21,9615,3355,"13300","OIZ"
"MAGANGUE","Bolívar",2297,7815,1613,15051,705,620,74,397,89302,28572,"13430","JMS"
"MAHATES","Bolívar",374,1996,211,2258,117,64,19,55,18621,5094,"13433","JMS"
"MARGARITA","Bolívar",220,1031,110,1098,12,30,7,21,8460,2529,"13440","JMS"
"MARIA LA BAJA","Bolívar",511,1962,122,6989,112,182,36,147,35962,10061,"13442","JMS"
"MOMPOS","Bolívar",1171,2567,445,4233,136,169,16,126,33608,8863,"13468","JMS"
"MONTECRISTO","Bolívar",38,800,210,1055,27,23,5,22,8384,2180,"13458","JMS"
"MORALES","Bolívar",169,1676,201,1611,47,52,21,27,10311,3804,"13473","OIZ"
"NOROSI","Bolívar",52,287,127,602,19,16,4,14,3615,1121,"13490","JMS"
"PINILLOS","Bolívar",310,1765,285,2906,57,50,20,83,15566,5476,"13549","JMS"
"REGIDOR","Bolívar",54,371,31,1113,16,9,6,11,4284,1611,"13580","JMS"
"RIOVIEJO","Bolívar",118,736,69,1061,27,28,3,21,5683,2063,"13600","JMS"
"SAN CRISTOBAL","Bolívar",76,214,25,1683,18,25,3,6,6053,2050,"13620","JMS"
"SAN ESTANISLAO","Bolívar",265,1096,188,2481,84,120,12,47,13563,4293,"13647","JMS"
"SAN FERNANDO","Bolívar",145,682,49,1127,10,24,8,30,7833,2075,"13650","JMS"
"SAN JACINTO","Bolívar",311,3257,307,3518,93,148,232,76,19368,7942,"13654","JMS"
"SAN JACINTO DEL CAUCA","Bolívar",86,927,51,846,24,33,9,11,6563,1987,"13655","OIZ"
"SAN JUAN NEPOMUCENO","Bolívar",417,4109,297,3291,175,220,25,100,29049,8634,"13657","OIZ"
"SAN MARTIN DE LOBA","Bolívar",367,1226,190,1126,45,44,2,34,10366,3034,"13667","OIZ"
"SAN PABLO","Bolívar",578,1385,676,1548,88,450,45,101,16328,4871,"13670","JMS"
"SANTA CATALINA","Bolívar",262,428,108,1970,51,70,6,22,11136,2917,"13673","JMS"
"SANTA ROSA","Bolívar",136,534,105,951,60,398,27,50,12294,2261,"13683","JMS"
"SANTA ROSA DEL SUR","Bolívar",767,2799,1281,1120,177,284,23,115,16803,6566,"13688","OIZ"
"SIMITI","Bolívar",466,1310,518,1179,64,112,18,62,11814,3729,"13744","OIZ"
"SOPLAVIENTO","Bolívar",254,243,75,2037,49,49,6,16,7765,2729,"13760","JMS"
"TALAIGUA NUEVO","Bolívar",174,1140,97,1675,46,36,6,10,8649,3184,"13780","JMS"
"TIQUISIO (PTO. RICO)","Bolívar",115,1785,87,1084,40,42,9,33,11548,3195,"13810","OIZ"
"TURBACO","Bolívar",2010,3254,1423,3909,895,734,33,182,55375,12440,"13836","JMS"
"TURBANA","Bolívar",321,1104,349,1680,177,136,11,40,13563,3818,"13838","JMS"
"VILLANUEVA","Bolívar",402,2317,167,1762,84,123,18,96,14210,4969,"13873","OIZ"
"ZAMBRANO","Bolívar",101,376,59,3317,23,63,9,31,8536,3979,"13894","JMS"
"ALMEIDA","Boyacá",58,460,50,109,17,19,3,22,1867,738,"15022","OIZ"
"AQUITANIA (PUEBLOVIEJO)","Boyacá",421,3467,1168,300,127,86,32,126,12252,5727,"15047","OIZ"
"ARCABUCO","Boyacá",302,483,559,348,71,81,9,99,4415,1952,"15051","MLR"
"BELEN","Boyacá",544,542,1142,364,113,122,14,80,6658,2921,"15087","MLR"
"BERBEO","Boyacá",84,151,66,90,39,42,1,10,1466,483,"15090","OIZ"
"BETEITIVA","Boyacá",98,183,151,215,43,41,5,15,1884,751,"15092","JMS"
"BOAVITA","Boyacá",194,1043,451,325,43,41,8,35,5150,2140,"15097","OIZ"
"BOYACA","Boyacá",263,300,169,230,80,33,14,39,4001,1128,"15104","OIZ"
"BRICEÑO","Boyacá",42,341,148,279,15,23,5,11,1977,864,"15106","OIZ"
"BUENAVISTA","Boyacá",125,803,250,562,96,50,20,32,4503,1938,"15109","OIZ"
"BUSBANZA","Boyacá",38,76,184,51,21,13,4,5,763,392,"15114","MLR"
"CALDAS","Boyacá",162,344,278,203,29,77,7,32,3072,1132,"15131","OIZ"
"CAMPOHERMOSO","Boyacá",74,659,142,149,27,42,4,9,2502,1106,"15135","OIZ"
"CERINZA","Boyacá",385,334,593,158,77,62,7,58,3303,1674,"15162","MLR"
"CHINAVITA","Boyacá",136,556,200,214,30,32,4,14,3101,1186,"15172","OIZ"
"CHIQUINQUIRA","Boyacá",3275,5064,4200,2956,1279,960,36,438,38741,18208,"15176","OIZ"
"CHIQUIZA","Boyacá",178,158,121,361,77,84,14,129,4236,1122,"15232","JMS"
"CHISCAS","Boyacá",78,1116,28,246,19,22,9,32,3542,1550,"15180","OIZ"
"CHITA","Boyacá",163,2337,115,150,41,67,19,66,6430,2958,"15183","OIZ"
"CHITARAQUE","Boyacá",118,758,154,487,20,40,16,32,5240,1625,"15185","OIZ"
"CHIVATA","Boyacá",193,190,441,116,164,25,2,26,2545,1157,"15187","MLR"
"CHIVOR","Boyacá",26,396,164,145,14,20,4,8,1778,777,"15236","OIZ"
"CIENEGA","Boyacá",119,847,582,94,62,54,9,28,3757,1795,"15189","OIZ"
"COMBITA","Boyacá",691,581,795,443,297,95,7,111,8320,3020,"15204","MLR"
"COPER","Boyacá",66,320,264,617,20,47,6,19,3240,1359,"15212","JMS"
"CORRALES","Boyacá",223,217,373,109,80,49,3,29,2170,1083,"15215","MLR"
"COVARACHIA","Boyacá",54,927,83,105,21,13,11,14,3177,1228,"15218","OIZ"
"CUBARA","Boyacá",248,436,207,394,32,88,20,51,4575,1476,"15223","OIZ"
"CUCAITA","Boyacá",279,144,703,133,77,50,5,26,2988,1417,"15224","MLR"
"CUITIVA","Boyacá",110,326,238,142,31,21,4,13,1870,885,"15226","OIZ"
"DUITAMA","Boyacá",12109,9798,7653,4570,5660,2044,50,1223,79112,43107,"15238","CL"
"EL COCUY","Boyacá",112,1084,233,107,33,67,9,41,3711,1686,"15244","OIZ"
"EL ESPINO","Boyacá",32,834,189,71,12,13,6,7,2244,1164,"15248","OIZ"
"FIRAVITOBA","Boyacá",598,338,538,259,132,57,9,46,5540,1977,"15272","CL"
"FLORESTA","Boyacá",129,425,580,142,83,43,11,19,3045,1432,"15276","MLR"
"GACHANTIVA","Boyacá",146,385,328,223,49,32,8,33,2766,1204,"15293","OIZ"
"GAMEZA","Boyacá",188,563,539,148,54,44,7,45,4044,1588,"15296","OIZ"
"GARAGOA","Boyacá",873,1670,1150,811,285,237,13,148,11535,5187,"15299","OIZ"
"GUACAMAYAS","Boyacá",29,636,80,28,5,12,5,7,1642,802,"15317","OIZ"
"GUATEQUE","Boyacá",525,1043,565,891,293,213,22,111,8798,3663,"15322","OIZ"
"GUAYATA","Boyacá",105,794,431,239,46,45,4,22,3876,1686,"15325","OIZ"
"GUICAN","Boyacá",107,995,184,81,56,57,17,32,2992,1529,"15332","OIZ"
"IZA","Boyacá",190,331,214,98,73,25,0,15,2115,946,"15362","OIZ"
"JENESANO","Boyacá",332,572,208,398,88,72,18,63,5296,1751,"15367","OIZ"
"JERICO","Boyacá",81,986,71,132,25,22,15,34,3094,1366,"15368","OIZ"
"LA CAPILLA","Boyacá",158,373,254,145,45,47,7,22,2574,1051,"15380","OIZ"
"LA UVITA","Boyacá",47,675,282,119,34,21,4,22,2512,1204,"15403","OIZ"
"LA VICTORIA","Boyacá",16,164,14,339,6,16,7,4,1478,566,"15401","JMS"
"LABRANZAGRANDE","Boyacá",69,817,64,114,17,15,14,15,2670,1125,"15377","OIZ"
"MACANAL","Boyacá",169,731,279,183,53,40,11,50,3533,1516,"15425","OIZ"
"MARIPI","Boyacá",95,1025,196,820,23,36,7,39,6561,2241,"15442","OIZ"
"MIRAFLORES","Boyacá",705,990,340,947,307,428,18,86,7548,3821,"15455","OIZ"
"MONGUA","Boyacá",168,1418,352,103,58,29,14,44,3841,2186,"15464","OIZ"
"MONGUI","Boyacá",553,544,322,160,66,39,1,28,3436,1713,"15466","CL"
"MONIQUIRA","Boyacá",1553,2059,1245,1195,305,259,31,257,16776,6904,"15469","OIZ"
"MOTAVITA","Boyacá",463,364,291,405,230,89,6,101,4759,1949,"15476","CL"
"MUZO","Boyacá",188,1157,574,653,58,107,20,103,6961,2860,"15480","OIZ"
"NOBSA","Boyacá",2303,855,1116,824,626,235,6,145,10901,6110,"15491","CL"
"NUEVO COLON","Boyacá",332,350,352,273,99,109,7,66,4437,1588,"15494","MLR"
"OICATA","Boyacá",252,176,268,144,107,27,1,24,2290,999,"15500","MLR"
"OTANCHE","Boyacá",153,1774,221,328,64,92,21,59,6353,2712,"15507","OIZ"
"PACHAVITA","Boyacá",83,417,184,93,36,32,6,13,1994,864,"15511","OIZ"
"PAEZ","Boyacá",43,573,55,481,36,49,8,13,2265,1258,"15514","OIZ"
"PAIPA","Boyacá",2183,2458,1827,1637,1691,674,22,448,23614,10940,"15516","OIZ"
"PAJARITO","Boyacá",63,490,42,101,21,18,7,4,1612,746,"15518","OIZ"
"PANQUEBA","Boyacá",28,530,84,49,4,10,6,6,1516,717,"15522","OIZ"
"PAUNA","Boyacá",195,1184,555,688,56,85,23,99,6759,2885,"15531","OIZ"
"PAYA","Boyacá",39,285,241,49,15,18,5,16,1284,668,"15533","OIZ"
"PAZ DE RIO","Boyacá",507,172,328,304,284,81,7,42,4418,1725,"15537","CL"
"PESCA","Boyacá",310,778,734,301,70,66,10,57,6147,2326,"15542","OIZ"
"PISBA","Boyacá",34,289,35,64,29,11,7,9,968,478,"15550","OIZ"
"PUERTO BOYACA","Boyacá",1645,4092,2490,2888,864,674,83,626,31446,13362,"15572","OIZ"
"QUIPAMA","Boyacá",99,1079,249,363,38,40,19,60,4842,1947,"15580","OIZ"
