"MUN","DEP","CL","OIZ","MLR","JMS","EP","BLANCOS","SIN.MARCA","NULOS","POTENCIAL","TOTAL","DANE","GANADOR"
"LA CALERA","Cundinamarca",2522,1746,2247,1266,964,702,17,272,19108,9736,"25377","CL"
"LA MESA","Cundinamarca",956,3510,1307,2684,530,429,29,209,22404,9654,"25386","OIZ"
"LA PALMA","Cundinamarca",99,1051,155,1070,41,86,21,64,8665,2587,"25394","JMS"
"LA PEÑA","Cundinamarca",50,1766,214,243,16,59,23,44,5503,2415,"25398","OIZ"
"LA VEGA","Cundinamarca",499,2251,770,1344,258,324,17,163,11652,5626,"25402","OIZ"
"LENGUAZAQUE","Cundinamarca",172,825,1937,189,57,100,6,56,6606,3342,"25407","MLR"
"MACHETA","Cundinamarca",172,1035,477,355,109,115,3,53,6157,2319,"25426","OIZ"
"MADRID","Cundinamarca",4653,6688,8093,3478,2016,1816,50,1204,49707,27998,"25430","MLR"
"MANTA","Cundinamarca",101,793,430,420,29,52,5,18,4020,1848,"25436","OIZ"
"MEDINA","Cundinamarca",115,1794,454,419,67,73,11,31,6728,2964,"25438","OIZ"
"MOSQUERA","Cundinamarca",5009,7199,6674,4612,2383,2069,51,968,51230,28965,"25473","OIZ"
"NARIÑO","Cundinamarca",73,247,129,317,19,24,9,12,2463,830,"25483","JMS"
"NEMOCON","Cundinamarca",580,865,1592,822,321,238,9,172,8334,4599,"25486","MLR"
"NILO","Cundinamarca",213,989,274,794,84,61,6,40,6149,2461,"25488","OIZ"
"NIMAIMA","Cundinamarca",44,857,145,287,30,45,8,23,3071,1439,"25489","OIZ"
"NOCAIMA","Cundinamarca",301,950,300,419,99,126,5,52,5135,2252,"25491","OIZ"
"PACHO","Cundinamarca",473,3449,1723,2220,263,442,23,246,19875,8839,"25513","OIZ"
"PAIME","Cundinamarca",62,710,99,710,13,30,15,9,4433,1648,"25518","EMPATE"
"PANDI","Cundinamarca",158,583,269,469,46,47,4,31,4012,1607,"25524","OIZ"
"PARATEBUENO (LA NAGUAYA)","Cundinamarca",170,1889,384,705,74,102,15,95,6905,3434,"25530","OIZ"
"PASCA","Cundinamarca",893,772,494,555,105,105,8,81,7051,3013,"25535","CL"
"PUERTO SALGAR","Cundinamarca",675,1840,573,1154,192,213,21,246,13044,4914,"25572","OIZ"
"PULI","Cundinamarca",35,667,86,242,21,26,3,15,2817,1095,"25580","OIZ"
"QUEBRADANEGRA","Cundinamarca",70,1146,241,245,31,78,8,31,3891,1850,"25592","OIZ"
"QUETAME","Cundinamarca",314,1161,587,237,56,122,9,47,5261,2533,"25594","OIZ"
"QUIPILE","Cundinamarca",124,1467,180,382,36,52,27,46,6084,2314,"25596","OIZ"
"RICAURTE","Cundinamarca",334,1288,435,1673,188,197,10,86,9961,4211,"25612","JMS"
"SAN ANTONIO DEL TEQUENDAMA","Cundinamarca",397,1232,540,882,209,132,4,90,8190,3486,"25645","OIZ"
"SAN BERNARDO","Cundinamarca",290,1399,595,612,54,102,7,69,7614,3128,"25649","OIZ"
"SAN CAYETANO","Cundinamarca",83,668,185,324,14,31,10,18,4348,1333,"25653","OIZ"
"SAN FRANCISCO","Cundinamarca",254,1828,552,528,228,210,12,62,7842,3674,"25658","OIZ"
"SAN JUAN DE RIOSECO","Cundinamarca",284,1587,219,1013,96,138,23,91,8876,3451,"25662","OIZ"
"SASAIMA","Cundinamarca",262,1601,786,702,118,139,10,89,8417,3707,"25718","OIZ"
"SESQUILE","Cundinamarca",599,753,1441,416,198,243,11,162,7304,3823,"25736","MLR"
"SIBATE","Cundinamarca",2087,2856,2908,1409,749,677,22,471,22986,11179,"25740","MLR"
"SILVANIA","Cundinamarca",769,3551,769,1388,270,253,29,144,16048,7173,"25743","OIZ"
"SIMIJACA","Cundinamarca",337,1049,1523,562,191,163,14,135,8220,3974,"25745","MLR"
"SOACHA","Cundinamarca",19386,22469,18607,18055,6952,6192,166,3325,190969,95152,"25754","OIZ"
"SOPO","Cundinamarca",1410,1499,2996,1451,1055,684,16,263,14970,9374,"25758","MLR"
"SUBACHOQUE","Cundinamarca",517,2305,1793,656,433,390,15,223,10630,6332,"25769","OIZ"
"SUESCA","Cundinamarca",920,556,2161,751,266,282,5,213,9435,5154,"25772","MLR"
"SUPATA","Cundinamarca",125,873,384,205,49,59,5,35,4176,1735,"25777","OIZ"
"SUSA","Cundinamarca",168,373,1241,225,70,75,11,46,5052,2209,"25779","MLR"
"SUTATAUSA","Cundinamarca",210,541,794,155,93,109,10,78,3679,1990,"25781","MLR"
"TABIO","Cundinamarca",1306,1867,2169,1095,731,567,9,208,13814,7952,"25785","MLR"
"TAUSA","Cundinamarca",179,785,1475,162,68,105,8,87,5527,2869,"25793","MLR"
"TENA","Cundinamarca",231,961,354,736,112,79,6,30,6050,2509,"25797","OIZ"
"TENJO","Cundinamarca",1008,2066,1756,1202,766,578,10,230,13067,7616,"25799","OIZ"
"TIBACUY","Cundinamarca",163,751,137,401,33,29,11,23,3638,1548,"25805","OIZ"
"TIBIRITA","Cundinamarca",67,320,230,249,51,74,14,24,3033,1029,"25807","OIZ"
"TOCAIMA","Cundinamarca",384,2092,516,1774,145,207,17,114,12777,5249,"25815","OIZ"
"TOCANCIPA","Cundinamarca",1797,2898,5132,1656,765,749,32,473,21852,13502,"25817","MLR"
"TOPAIPI","Cundinamarca",44,749,96,665,8,31,9,21,4084,1623,"25823","OIZ"
"UBALA","Cundinamarca",219,979,629,686,32,52,14,60,8421,2671,"25839","OIZ"
"UBAQUE","Cundinamarca",311,1139,457,381,71,118,8,92,5478,2577,"25841","OIZ"
"UBATE","Cundinamarca",1469,2308,6385,975,779,1149,34,365,28883,13464,"25843","MLR"
"UNE","Cundinamarca",302,1450,267,459,110,143,13,83,6049,2827,"25845","OIZ"
"UTICA","Cundinamarca",52,1271,175,389,26,32,9,23,4587,1977,"25851","OIZ"
"VENECIA","Cundinamarca",161,508,133,272,25,63,7,24,3438,1193,"25506","OIZ"
"VERGARA","Cundinamarca",87,1502,233,478,50,65,30,51,7002,2496,"25862","OIZ"
"VIANI","Cundinamarca",110,787,151,400,31,57,8,23,3810,1567,"25867","OIZ"
"VILLAGOMEZ","Cundinamarca",49,255,131,277,15,16,5,10,1895,758,"25871","JMS"
"VILLAPINZON","Cundinamarca",696,2279,2564,439,311,363,17,158,12299,6827,"25873","MLR"
"VILLETA","Cundinamarca",606,5145,1286,1606,350,450,28,207,21096,9678,"25875","OIZ"
"VIOTA","Cundinamarca",456,2154,242,1038,83,77,23,54,9915,4127,"25878","OIZ"
"YACOPI","Cundinamarca",95,1879,112,1005,60,90,34,77,11480,3352,"25885","OIZ"
"ZIPACON","Cundinamarca",181,703,462,542,84,94,5,60,3821,2131,"25898","OIZ"
"ZIPAQUIRA","Cundinamarca",9116,6351,11363,6214,4513,3260,47,1409,76180,42273,"25899","MLR"
"BARRANCO MINAS","Guainía",49,51,32,204,26,12,4,6,1899,384,"94343","JMS"
"CACAHUAL","Guainía",0,2,1,15,1,1,0,0,305,20,"94886","JMS"
"INIRIDA","Guainía",392,1755,571,2269,258,148,19,60,16907,5472,"94001","JMS"
"LA GUADALUPE","Guainía",1,12,0,11,8,0,0,0,133,32,"94885","OIZ"
"MAPIRIPANA","Guainía",26,11,4,41,3,4,1,0,583,90,"94663","JMS"
"MORICHAL (MORICHAL NUEVO)","Guainía",0,1,1,23,0,0,0,0,159,25,"94888","JMS"
"PANA PANA (CAMPO ALEGRE)","Guainía",0,10,9,117,8,0,0,1,288,145,"94887","JMS"
"PUERTO COLOMBIA","Guainía",5,16,5,86,1,4,0,0,981,117,"94884","JMS"
"SAN FELIPE","Guainía",2,53,12,62,1,4,0,2,678,136,"94883","JMS"
"CALAMAR","Guaviare",116,232,117,1016,31,74,12,20,4913,1618,"95015","JMS"
"EL RETORNO","Guaviare",82,1162,223,1770,49,124,6,45,9125,3461,"95025","JMS"
"MIRAFLORES","Guaviare",41,65,76,584,16,40,6,15,4165,843,"95200","JMS"
"SAN JOSE DEL GUAVIARE","Guaviare",726,5167,1473,3236,681,681,147,288,34915,12399,"95001","OIZ"
"ACEVEDO","Huila",526,7277,530,280,108,103,36,98,17268,8958,"41006","OIZ"
"AGRADO","Huila",224,905,815,466,69,123,15,66,6159,2683,"41013","OIZ"
"AIPE","Huila",682,1983,548,981,303,202,26,83,14586,4808,"41016","OIZ"
"ALGECIRAS","Huila",535,1929,277,1284,181,151,33,108,13530,4498,"41020","OIZ"
"ALTAMIRA","Huila",152,441,185,166,30,54,4,27,2840,1059,"41026","OIZ"
"BARAYA","Huila",327,768,153,340,75,58,11,54,5895,1786,"41078","OIZ"
"CAMPOALEGRE","Huila",1340,3349,895,1622,511,436,33,413,23580,8599,"41132","OIZ"
"COLOMBIA","Huila",215,1382,251,394,70,61,14,26,6505,2413,"41206","OIZ"
"ELIAS","Huila",95,838,215,88,55,21,12,15,2833,1339,"41244","OIZ"
"GARZON","Huila",2877,8486,3745,1446,1257,1108,76,488,49043,19483,"41298","OIZ"
"GIGANTE","Huila",1037,3661,852,676,268,341,32,211,17892,7078,"41306","OIZ"
"GUADALUPE","Huila",476,2956,773,271,261,105,17,89,11555,4948,"41319","OIZ"
"HOBO","Huila",249,984,267,227,84,106,11,44,5315,1972,"41349","OIZ"
"IQUIRA","Huila",572,1117,504,356,158,107,19,56,6523,2889,"41357","OIZ"
"ISNOS","Huila",1313,4684,1130,693,321,226,38,144,17129,8549,"41359","OIZ"
"LA ARGENTINA (PLATA VIEJA)","Huila",1162,1404,643,198,144,67,14,56,9408,3688,"41378","OIZ"
"LA PLATA","Huila",2230,7752,2315,1264,567,444,71,368,38306,15011,"41396","OIZ"
"NATAGA","Huila",181,1058,274,169,71,62,19,43,4158,1877,"41483","OIZ"
"NEIVA","Huila",23483,29909,14449,14631,10233,4616,555,2054,238445,99930,"41001","OIZ"
"OPORAPA","Huila",231,3166,313,113,62,43,7,45,6993,3980,"41503","OIZ"
"PAICOL","Huila",104,1065,535,106,73,43,5,27,4513,1958,"41518","OIZ"
"PALERMO","Huila",1272,2902,1389,796,459,213,19,115,19861,7165,"41524","OIZ"
"PALESTINA","Huila",309,2458,420,181,118,101,14,70,8081,3671,"41530","OIZ"
"PITAL","Huila",568,1564,1070,217,150,89,12,54,8872,3724,"41548","OIZ"
"PITALITO","Huila",5665,19724,4214,2225,1771,784,102,570,81905,35055,"41551","OIZ"
"RIVERA","Huila",1123,1860,883,1035,367,245,19,221,15448,5753,"41615","OIZ"
"SALADOBLANCO","Huila",235,3513,214,153,76,58,28,29,8039,4306,"41660","OIZ"
"SAN AGUSTIN","Huila",1927,5173,1055,923,310,427,274,149,22119,10238,"41668","OIZ"
"SANTA MARIA","Huila",228,2599,432,189,126,61,108,42,7516,3785,"41676","OIZ"
"SUAZA","Huila",538,2930,501,308,136,90,16,72,10859,4591,"41770","OIZ"
"TARQUI","Huila",504,2374,1027,257,231,244,22,76,10994,4735,"41791","OIZ"
"TELLO","Huila",412,1603,256,656,149,119,24,91,10483,3310,"41799","OIZ"
"TERUEL","Huila",176,1505,322,173,114,91,5,33,6228,2419,"41801","OIZ"
"TESALIA (CARNICERIAS)","Huila",302,1680,674,165,126,107,10,94,7520,3158,"41797","OIZ"
"TIMANA","Huila",596,3987,1006,490,200,171,27,114,14480,6591,"41807","OIZ"
"VILLAVIEJA","Huila",448,705,276,654,78,96,10,65,6423,2332,"41872","OIZ"
"YAGUARA","Huila",597,880,601,262,224,158,8,87,6551,2817,"41885","OIZ"
"ALBANIA","Guajira",803,1134,557,1334,401,166,25,98,15674,4518,"44035","JMS"
"BARRANCAS","Guajira",707,1705,482,3351,444,202,18,93,23135,7002,"44078","JMS"
"DIBULLA","Guajira",424,1033,309,3733,176,82,15,51,20295,5823,"44090","JMS"
"DISTRACCION","Guajira",281,698,194,1270,73,79,6,46,7739,2647,"44098","JMS"
"EL MOLINO","Guajira",97,471,108,1990,56,50,2,23,6331,2797,"44110","JMS"
"FONSECA","Guajira",1182,1476,513,5113,324,257,16,127,23839,9008,"44279","JMS"
"HATONUEVO","Guajira",452,696,382,2472,487,115,17,50,12872,4671,"44378","JMS"
"LA JAGUA DEL PILAR","Guajira",72,317,40,1002,26,22,0,22,3655,1501,"44420","JMS"
"MAICAO","Guajira",2891,5080,2365,8470,888,719,55,295,109613,20763,"44430","JMS"
"MANAURE","Guajira",425,1087,504,2278,226,85,35,83,50470,4723,"44560","JMS"
"RIOHACHA","Guajira",3724,6231,2535,15213,1771,1295,490,452,100254,31711,"44001","JMS"
"SAN JUAN DEL CESAR","Guajira",767,4592,679,2946,530,360,89,168,29492,10131,"44650","OIZ"
"URIBIA","Guajira",474,1581,605,3370,600,136,58,197,87532,7021,"44847","JMS"
"URUMITA","Guajira",281,698,253,1452,196,90,2,31,7696,3003,"44855","JMS"
"VILLANUEVA","Guajira",471,1701,291,3269,201,150,8,72,16974,6163,"44874","JMS"
"ALGARROBO","Magdalena",132,702,213,2169,37,59,10,49,8874,3371,"47030","JMS"
"ARACATACA","Magdalena",691,1768,457,3344,195,231,22,76,26809,6784,"47053","JMS"
"ARIGUANI (EL DIFICIL)","Magdalena",229,1901,317,3458,132,183,31,57,20834,6308,"47058","JMS"
"CERRO DE SAN ANTONIO","Magdalena",50,288,28,2455,17,21,12,11,7978,2882,"47161","JMS"
"CHIVOLO","Magdalena",129,1336,70,1749,32,36,8,30,12327,3390,"47170","JMS"
"CIENAGA","Magdalena",3238,5969,1852,7614,659,749,46,328,76163,20455,"47189","JMS"
"CONCORDIA","Magdalena",53,414,75,3050,28,18,16,17,10252,3671,"47205","JMS"
"EL BANCO","Magdalena",896,4646,720,7033,358,247,32,173,44049,14105,"47245","JMS"
"EL PIÑON","Magdalena",97,839,132,3615,23,75,12,31,12509,4824,"47258","JMS"
"EL RETEN","Magdalena",158,542,108,2744,38,53,6,34,11818,3683,"47268","JMS"
"FUNDACION","Magdalena",662,5813,701,4990,413,582,29,171,47620,13361,"47288","OIZ"
"GUAMAL","Magdalena",329,1038,544,3101,170,67,9,49,21463,5307,"47318","JMS"
"NUEVA GRANADA","Magdalena",77,2211,117,2365,54,71,19,57,13707,4971,"47460","JMS"
"PEDRAZA","Magdalena",71,1014,37,1615,23,14,4,25,8690,2803,"47541","JMS"
"PIJIÑO DEL CARMEN","Magdalena",231,1039,111,1220,40,41,9,15,7592,2706,"47545","JMS"
"PIVIJAY","Magdalena",304,936,207,6716,107,186,21,99,27784,8576,"47551","JMS"
"PLATO","Magdalena",646,3588,521,7301,151,276,26,167,36776,12676,"47555","JMS"
"PUEBLOVIEJO","Magdalena",359,1199,385,3192,67,87,18,62,20024,5369,"47570","JMS"
"REMOLINO","Magdalena",48,290,29,2361,10,23,13,20,7011,2794,"47605","JMS"
"SABANAS DE SAN ANGEL","Magdalena",34,1218,121,2549,34,38,13,37,9933,4044,"47660","JMS"
"SALAMINA","Magdalena",40,663,82,1432,23,49,15,24,7246,2328,"47675","JMS"
"SAN SEBASTIAN DE BUENAVISTA","Magdalena",575,1112,154,3223,74,50,12,36,14956,5236,"47692","JMS"
"SAN ZENON","Magdalena",153,393,81,2772,27,26,8,26,7616,3486,"47703","JMS"
"SANTA ANA","Magdalena",192,2086,179,2264,99,90,18,39,14471,4967,"47707","JMS"
"SANTA BARBARA DE PINTO","Magdalena",40,657,68,2393,31,35,11,25,7668,3260,"47720","JMS"
"SANTA MARTA","Magdalena",14903,23687,10829,36839,5746,4357,238,1618,297561,98217,"47001","JMS"
"SITIONUEVO","Magdalena",177,664,199,3290,50,70,20,47,17715,4517,"47745","JMS"
"TENERIFE","Magdalena",148,518,89,2640,39,38,8,27,9616,3507,"47798","JMS"
"ZAPAYAN","Magdalena",35,1021,51,1515,30,12,3,52,7518,2719,"47960","JMS"
"ZONA BANANERA (SEVILLA)","Magdalena",1141,2470,774,5285,230,262,34,190,40922,10386,"47980","JMS"
"ACACIAS","Meta",3229,13872,6524,3320,1621,1393,100,1543,51288,31602,"50006","OIZ"
"BARRANCA DE UPIA","Meta",145,871,246,432,69,70,10,54,4104,1897,"50110","OIZ"
"CABUYARO","Meta",73,1054,128,448,34,66,9,28,4409,1840,"50124","OIZ"
"CASTILLA LA NUEVA","Meta",470,2704,1617,845,313,291,10,339,9488,6589,"50150","OIZ"
"CUBARRAL","Meta",94,1438,515,292,58,60,6,40,4854,2503,"50223","OIZ"
"CUMARAL","Meta",806,3480,1591,1005,319,300,19,166,14598,7686,"50226","OIZ"
"EL CALVARIO","Meta",30,544,63,117,17,14,5,4,1638,794,"50245","OIZ"
"EL CASTILLO","Meta",298,683,193,610,38,57,11,42,5199,1932,"50251","OIZ"
"EL DORADO","Meta",47,853,279,251,27,36,7,22,2754,1522,"50270","OIZ"
"FUENTE DE ORO","Meta",339,2045,359,1074,114,174,14,122,9093,4241,"50287","OIZ"
"GRANADA","Meta",2068,10012,1761,4652,971,952,79,592,44337,21087,"50313","OIZ"
"GUAMAL","Meta",388,3306,1065,688,201,226,12,96,9768,5982,"50318","OIZ"
"LA MACARENA","Meta",321,632,335,895,47,136,18,36,7314,2420,"50350","JMS"
"LEJANIAS","Meta",233,1797,216,945,59,123,16,94,7592,3483,"50400","OIZ"
"MAPIRIPAN","Meta",63,639,115,497,30,59,90,43,5681,1536,"50325","OIZ"
"MESETAS","Meta",297,1059,217,792,67,109,26,64,7259,2631,"50330","OIZ"
"PUERTO CONCORDIA","Meta",91,790,97,742,43,67,10,42,5584,1882,"50450","OIZ"
"PUERTO GAITAN","Meta",645,2695,827,1357,342,387,38,305,18493,6596,"50568","OIZ"
"PUERTO LLERAS","Meta",134,1418,202,702,74,103,16,53,6119,2702,"50577","OIZ"
"PUERTO LOPEZ","Meta",849,5132,1114,1594,405,285,39,220,21536,9638,"50573","OIZ"
"PUERTO RICO","Meta",272,1621,236,795,61,121,30,78,7930,3214,"50590","OIZ"
"RESTREPO","Meta",612,2954,1489,819,406,264,9,123,14568,6676,"50606","OIZ"
"SAN CARLOS DE GUAROA","Meta",252,2002,414,689,124,138,15,92,7191,3726,"50680","OIZ"
"SAN JUAN DE ARAMA","Meta",138,1164,137,788,48,97,17,56,5654,2445,"50683","OIZ"
"SAN JUANITO","Meta",25,405,59,79,9,41,1,7,1234,626,"50686","OIZ"
"SAN MARTIN DE LOS LLANOS","Meta",803,3956,1502,1547,380,443,37,300,17012,8968,"50689","OIZ"
"URIBE","Meta",591,119,44,601,26,39,8,45,4222,1473,"50370","JMS"
"VILLAVICENCIO","Meta",24192,56926,29053,20280,11520,6653,228,3327,307107,152179,"50001","OIZ"
"VISTA HERMOSA","Meta",310,2495,430,1425,101,315,34,155,10932,5265,"50711","OIZ"
"ALBAN (SAN JOSE)","Nariño",216,2358,136,338,90,77,20,43,6160,3278,"52019","OIZ"
"ALDANA","Nariño",500,431,405,789,151,83,24,51,5477,2434,"52022","JMS"
"ANCUYA","Nariño",351,363,235,1249,70,87,41,25,7258,2421,"52036","JMS"
"ARBOLEDA (BERRUECOS)","Nariño",177,1316,156,384,62,89,101,37,5398,2322,"52051","OIZ"
"BARBACOAS","Nariño",348,885,225,2043,72,198,26,88,20336,3885,"52079","JMS"
"BELEN","Nariño",264,576,274,816,98,131,11,11,5071,2181,"52083","JMS"
"BUESACO","Nariño",519,2621,679,1850,180,195,48,102,16112,6194,"52110","OIZ"
"CHACHAGUI","Nariño",496,786,505,1719,161,126,11,65,9102,3869,"52240","JMS"
"COLON (GENOVA)","Nariño",427,710,184,535,100,116,18,47,6404,2137,"52203","OIZ"
"CONSACA","Nariño",335,919,330,1564,99,157,21,42,8352,3467,"52207","JMS"
"CONTADERO","Nariño",917,528,201,284,102,58,12,21,5384,2123,"52210","CL"
"CORDOBA","Nariño",1228,371,595,778,189,130,26,64,9592,3381,"52215","CL"
"CUASPUD (CARLOSAMA)","Nariño",386,538,470,799,196,167,30,55,6789,2641,"52224","JMS"
"CUMBAL","Nariño",953,1404,1001,3917,581,280,44,113,22230,8293,"52227","JMS"
"CUMBITARA","Nariño",175,66,130,1585,50,76,9,27,5839,2118,"52233","JMS"
"EL CHARCO","Nariño",858,186,137,3001,54,66,18,119,14377,4439,"52250","JMS"
"EL PEÑOL","Nariño",180,198,117,1751,59,62,6,28,5141,2401,"52254","JMS"
"EL ROSARIO","Nariño",123,134,82,1751,24,33,2,14,6489,2163,"52256","JMS"
"EL TABLON","Nariño",266,1924,287,1732,120,144,19,42,10315,4534,"52258","OIZ"
"EL TAMBO","Nariño",623,802,500,2402,204,158,29,110,10875,4828,"52260","JMS"
"FRANCISCO PIZARRO (SALAHONDA)","Nariño",100,119,39,1724,19,36,17,34,5950,2088,"52520","JMS"
"FUNES","Nariño",136,415,210,1708,73,78,9,31,5282,2660,"52287","JMS"
"GUACHUCAL","Nariño",499,756,516,2451,247,229,39,91,13509,4828,"52317","JMS"
"GUAITARILLA","Nariño",369,458,415,1560,136,137,43,64,10442,3182,"52320","JMS"
"GUALMATAN","Nariño",903,363,406,226,153,219,12,47,4840,2329,"52323","CL"
"ILES","Nariño",366,438,302,713,255,71,24,54,6646,2223,"52352","JMS"
"IMUES","Nariño",228,571,409,843,132,96,22,40,6155,2341,"52354","JMS"
"IPIALES","Nariño",6211,5084,4854,5049,4466,1378,145,763,86661,27950,"52356","CL"
"LA CRUZ","Nariño",671,2230,372,1923,153,234,25,69,12866,5677,"52378","OIZ"
"LA FLORIDA","Nariño",536,592,173,1553,66,75,19,37,8851,3051,"52381","JMS"
"LA LLANADA","Nariño",113,157,69,940,25,84,2,18,3114,1408,"52385","JMS"
"LA TOLA","Nariño",241,62,49,1205,29,15,6,27,4781,1634,"52390","JMS"
"LA UNION","Nariño",1071,3563,609,1307,289,344,33,119,20526,7335,"52399","OIZ"
"LEIVA","Nariño",204,146,85,1768,38,47,9,15,6978,2312,"52405","JMS"
"LINARES","Nariño",278,252,127,3093,54,116,16,35,8335,3971,"52411","JMS"
"LOS ANDES (SOTOMAYOR)","Nariño",368,248,307,1897,91,122,14,37,6755,3084,"52418","JMS"
"MAGUI (PAYAN)","Nariño",173,122,48,1242,14,53,10,23,6033,1685,"52427","JMS"
"MALLAMA (PIEDRANCHA)","Nariño",322,160,144,1053,67,62,9,18,5734,1835,"52435","JMS"
"MOSQUERA","Nariño",723,88,63,1127,15,34,10,35,5550,2095,"52473","JMS"
"NARIÑO","Nariño",185,284,149,1218,55,56,5,32,4024,1984,"52480","JMS"
"OLAYA HERRERA","Nariño",221,281,138,3196,42,65,34,86,12534,4063,"52490","JMS"
"OSPINA","Nariño",156,486,204,1002,83,112,23,33,5472,2099,"52506","JMS"
"PASTO","Nariño",29453,19084,15027,42389,8863,5664,271,2644,266450,123395,"52001","JMS"
"POLICARPA","Nariño",202,118,61,3178,56,88,17,32,9176,3752,"52540","JMS"
"POTOSI","Nariño",964,627,575,711,231,101,13,45,9206,3267,"52560","CL"
"PROVIDENCIA","Nariño",117,58,127,1254,37,56,13,24,4069,1686,"52565","JMS"
"PUERRES","Nariño",609,541,505,1065,140,210,17,61,7341,3148,"52573","JMS"
"PUPIALES","Nariño",1778,932,1231,685,533,252,40,184,13807,5635,"52585","CL"
"RICAURTE","Nariño",407,353,216,893,89,87,17,63,12081,2125,"52612","JMS"
"ROBERTO PAYAN (SAN JOSE)","Nariño",57,113,36,2064,24,23,8,20,8074,2345,"52621","JMS"
"SAMANIEGO","Nariño",780,396,200,6227,143,188,22,95,21532,8051,"52678","JMS"
"SAN BERNARDO","Nariño",213,1633,132,730,110,111,21,30,5775,2980,"52685","OIZ"
"SAN LORENZO","Nariño",577,1162,366,1654,156,178,39,111,12227,4243,"52687","JMS"
"SAN PABLO","Nariño",519,660,230,1819,94,137,23,77,11013,3559,"52693","JMS"
"SAN PEDRO DE CARTAGO","Nariño",160,1158,98,347,82,47,12,21,4949,1925,"52694","OIZ"
"SANDONA","Nariño",694,918,414,4777,185,192,33,80,15441,7293,"52683","JMS"
"SANTA BARBARA (ISCUANDE)","Nariño",655,114,26,746,20,14,5,26,6940,1606,"52696","JMS"
"SANTACRUZ (GUACHAVES)","Nariño",163,124,60,1248,60,52,8,14,6393,1729,"52699","JMS"
"SAPUYES","Nariño",248,380,214,691,162,57,17,41,5341,1810,"52720","JMS"
"TAMINANGO","Nariño",667,418,798,2279,117,152,19,63,13277,4513,"52786","JMS"
"TANGUA","Nariño",463,711,368,1793,156,125,19,73,9114,3708,"52788","JMS"
"TUMACO","Nariño",2174,9264,3498,20042,949,1189,219,679,115142,38014,"52835","JMS"
"TUQUERRES","Nariño",1906,1077,2184,3753,573,614,89,356,32670,10552,"52838","JMS"
"YACUANQUER","Nariño",512,1002,332,1479,105,143,26,92,7682,3691,"52885","JMS"
"ABREGO","NortedeSantander",375,3321,441,1567,166,216,19,99,19949,6204,"54003","OIZ"
"ARBOLEDAS","NortedeSantander",112,1246,426,1164,28,53,21,71,6483,3121,"54051","OIZ"
"BOCHALEMA","NortedeSantander",135,1059,319,1183,50,137,19,82,5751,2984,"54099","JMS"
"BUCARASICA","NortedeSantander",55,815,257,275,28,52,10,47,4178,1539,"54109","OIZ"
"CACHIRA","NortedeSantander",122,2104,328,316,40,43,9,42,6850,3004,"54128","OIZ"
"CACOTA","NortedeSantander",32,408,93,237,33,33,5,15,2079,856,"54125","OIZ"
"CHINACOTA","NortedeSantander",411,1586,1797,1069,292,271,14,176,10960,5616,"54172","MLR"
"CHITAGA","NortedeSantander",162,1965,241,577,76,121,29,107,7275,3278,"54174","OIZ"
"CONVENCION","NortedeSantander",854,622,366,883,133,139,16,73,14990,3086,"54206","JMS"
"CUCUTA","NortedeSantander",16795,51492,41467,54340,15965,11020,407,5276,505374,196762,"54001","JMS"
"CUCUTILLA","NortedeSantander",69,820,911,854,38,60,17,70,5945,2839,"54223","MLR"
"DURANIA","NortedeSantander",111,425,129,1196,35,57,9,54,4245,2016,"54239","JMS"
"EL CARMEN","NortedeSantander",239,989,72,1378,65,72,15,65,9740,2895,"54245","JMS"
"EL TARRA","NortedeSantander",822,74,97,1029,45,61,6,53,9103,2187,"54250","JMS"
"EL ZULIA","NortedeSantander",390,2203,1326,2258,299,303,49,172,19070,7000,"54261","JMS"
"GRAMALOTE","NortedeSantander",38,903,387,800,34,72,21,37,4729,2292,"54313","OIZ"
"HACARI","NortedeSantander",567,87,73,422,39,72,41,36,6370,1337,"54344","CL"
"HERRAN","NortedeSantander",25,476,220,346,42,39,15,22,3270,1185,"54347","OIZ"
"LA ESPERANZA","NortedeSantander",163,1381,458,676,46,58,26,76,7876,2884,"54385","OIZ"
"LA PLAYA","NortedeSantander",107,588,206,479,38,75,10,46,6562,1549,"54398","OIZ"
"LABATECA","NortedeSantander",109,754,239,481,15,52,14,43,4719,1707,"54377","OIZ"
"LOS PATIOS","NortedeSantander",2112,8036,5373,6361,1967,1392,45,721,74525,26007,"54405","OIZ"
"LOURDES","NortedeSantander",25,724,225,224,19,58,3,24,3120,1302,"54418","OIZ"
"MUTISCUA","NortedeSantander",54,551,320,193,29,42,16,24,2626,1229,"54480","OIZ"
"OCAÑA","NortedeSantander",3610,7773,3826,5105,1750,1199,694,539,71961,24496,"54498","OIZ"
"PAMPLONA","NortedeSantander",3461,5437,4605,2496,1398,1078,70,639,41439,19184,"54518","OIZ"
"PAMPLONITA","NortedeSantander",54,534,783,300,31,75,21,68,3617,1866,"54520","MLR"
"PUERTO SANTANDER","NortedeSantander",100,1574,238,1224,25,59,27,65,11393,3312,"54553","OIZ"
"RAGONVALIA","NortedeSantander",66,771,371,576,49,69,9,38,5875,1949,"54599","OIZ"
"SALAZAR","NortedeSantander",130,893,992,1012,91,111,24,78,7509,3331,"54660","JMS"
"SAN CALIXTO","NortedeSantander",999,41,29,426,17,69,8,33,6704,1622,"54670","CL"
