"MUN","DEP","CL","OIZ","MLR","JMS","EP","BLANCOS","SIN.MARCA","NULOS","POTENCIAL","TOTAL"
"EL BANCO","Magdalena",896,4646,720,7033,358,247,32,173,44049,14105
"EL PIÃON","Magdalena",71,705,118,3334,15,61,12,29,12509,4345
"EL RETEN","Magdalena",158,542,108,2744,38,53,6,34,11818,3683
"FUNDACION","Magdalena",662,5813,701,4990,413,582,29,171,47620,13361
"GUAMAL","Magdalena",329,1038,544,3101,170,67,9,49,21463,5307
"NUEVA GRANADA","Magdalena",75,2083,114,2291,52,69,19,53,13707,4756
"PEDRAZA","Magdalena",71,1014,37,1615,23,14,4,25,8690,2803
"PIJIÃO DEL CARMEN","Magdalena",231,1039,111,1220,40,41,9,15,7592,2706
"PIVIJAY","Magdalena",304,936,207,6716,107,186,21,99,27784,8576
"PLATO","Magdalena",646,3588,521,7301,151,276,26,167,36776,12676
"PUEBLOVIEJO","Magdalena",353,1152,353,2992,64,81,18,58,20024,5071
"REMOLINO","Magdalena",48,290,29,2361,10,23,13,20,7011,2794
"SABANAS DE SAN ANGEL","Magdalena",34,1218,121,2549,34,38,13,37,9933,4044
"SALAMINA","Magdalena",40,663,82,1432,23,49,15,24,7246,2328
"SAN SEBASTIAN DE BUENAVISTA","Magdalena",575,1112,154,3223,74,50,12,36,14956,5236
"SAN ZENON","Magdalena",153,393,81,2772,27,26,8,26,7616,3486
"SANTA ANA","Magdalena",192,2086,179,2264,99,90,18,39,14471,4967
"SANTA BARBARA DE PINTO","Magdalena",40,657,68,2393,31,35,11,25,7668,3260
"SANTA MARTA","Magdalena",14870,23660,10821,36729,5733,4349,238,1616,297561,98016
"SITIONUEVO","Magdalena",174,660,199,3235,50,70,19,43,17715,4450
"TENERIFE","Magdalena",148,518,89,2640,39,38,8,27,9616,3507
"ZAPAYAN","Magdalena",35,1021,51,1515,30,12,3,52,7518,2719
"ZONA BANANERA (SEVILLA)","Magdalena",1141,2470,774,5285,230,262,34,190,40922,10386
"ACACIAS","Meta",3162,13585,6327,3239,1599,1379,98,1518,51288,30907
"BARRANCA DE UPIA","Meta",145,871,246,432,69,70,10,54,4104,1897
"CABUYARO","Meta",64,957,120,396,33,62,6,27,4409,1665
"CASTILLA LA NUEVA","Meta",470,2704,1617,845,313,291,10,339,9488,6589
"CUBARRAL","Meta",94,1438,515,292,58,60,6,40,4854,2503
"CUMARAL","Meta",783,3382,1534,968,305,293,19,166,14598,7450
"EL CALVARIO","Meta",30,544,63,117,17,14,5,4,1638,794
"EL CASTILLO","Meta",298,683,193,610,38,57,11,42,5199,1932
"EL DORADO","Meta",47,853,279,251,27,36,7,22,2754,1522
"FUENTE DE ORO","Meta",339,2045,359,1074,114,174,14,122,9093,4241
"GRANADA","Meta",2068,10012,1761,4652,971,952,79,592,44337,21087
"GUAMAL","Meta",388,3306,1065,688,201,226,12,96,9768,5982
"LA MACARENA","Meta",321,632,335,895,47,136,18,36,7314,2420
"LEJANIAS","Meta",233,1797,216,945,59,123,16,94,7592,3483
"MAPIRIPAN","Meta",60,617,99,377,24,51,6,39,5681,1273
"MESETAS","Meta",297,1059,217,792,67,109,26,64,7259,2631
"PUERTO CONCORDIA","Meta",91,790,97,742,43,67,10,42,5584,1882
"PUERTO GAITAN","Meta",635,2636,797,1301,332,359,36,287,18493,6383
"PUERTO LLERAS","Meta",134,1418,202,702,74,103,16,53,6119,2702
"PUERTO LOPEZ","Meta",849,5132,1114,1594,405,285,39,220,21536,9638
"PUERTO RICO","Meta",254,1617,230,758,56,116,28,72,7930,3131
"RESTREPO","Meta",518,2395,1232,669,330,220,7,99,14568,5470
"SAN CARLOS DE GUAROA","Meta",252,2002,414,689,124,138,15,92,7191,3726
"SAN JUAN DE ARAMA","Meta",138,1164,137,788,48,97,17,56,5654,2445
"SAN JUANITO","Meta",25,405,59,79,9,41,1,7,1234,626
"SAN MARTIN DE LOS LLANOS","Meta",803,3956,1502,1547,380,443,37,300,17012,8968
"URIBE","Meta",591,119,44,601,26,39,8,45,4222,1473
"VILLAVICENCIO","Meta",24077,56530,28923,20174,11479,6627,222,3301,307107,151333
"VISTA HERMOSA","Meta",310,2495,430,1425,101,315,34,155,10932,5265
"ALBAN (SAN JOSE)","Nariño",216,2358,136,338,90,77,20,43,6160,3278
"ALDANA","Nariño",500,431,405,789,151,83,24,51,5477,2434
"ANCUYA","Nariño",351,363,235,1249,70,87,41,25,7258,2421
"ARBOLEDA (BERRUECOS)","Nariño",177,1316,156,384,62,89,101,37,5398,2322
"BARBACOAS","Nariño",138,321,126,998,45,68,13,40,20336,1749
"BELEN","Nariño",264,576,274,816,98,131,11,11,5071,2181
"BUESACO","Nariño",519,2621,679,1850,180,195,48,102,16112,6194
"CHACHAGUI","Nariño",496,786,505,1719,161,126,11,65,9102,3869
"COLON (GENOVA)","Nariño",427,710,184,535,100,116,18,47,6404,2137
"CONSACA","Nariño",335,919,330,1564,99,157,21,42,8352,3467
"CONTADERO","Nariño",917,528,201,284,102,58,12,21,5384,2123
"CORDOBA","Nariño",1228,371,595,778,189,130,26,64,9592,3381
"CUASPUD (CARLOSAMA)","Nariño",386,538,470,799,196,167,30,55,6789,2641
"CUMBAL","Nariño",945,1401,995,3813,571,272,44,113,22230,8154
"CUMBITARA","Nariño",170,65,130,1573,48,75,9,27,5839,2097
"EL CHARCO","Nariño",117,140,112,1660,38,47,9,56,14377,2179
"EL PEÃOL","Nariño",180,198,117,1751,59,62,6,28,5141,2401
"EL ROSARIO","Nariño",121,129,82,1723,24,33,2,14,6489,2128
"EL TABLON","Nariño",186,1409,131,1117,92,89,7,27,10315,3058
"EL TAMBO","Nariño",623,802,500,2402,204,158,29,110,10875,4828
"FRANCISCO PIZARRO (SALAHONDA)","Nariño",44,103,28,1439,15,25,12,25,5950,1691
"FUNES","Nariño",136,415,210,1708,73,78,9,31,5282,2660
"GUACHUCAL","Nariño",490,738,499,2383,242,221,39,89,13509,4701
"GUAITARILLA","Nariño",369,458,415,1560,136,137,43,64,10442,3182
"GUALMATAN","Nariño",903,363,406,226,153,219,12,47,4840,2329
"ILES","Nariño",366,438,302,713,255,71,24,54,6646,2223
"IMUES","Nariño",228,571,409,843,132,96,22,40,6155,2341
"IPIALES","Nariño",6147,5051,4806,4956,4452,1363,141,760,86661,27676
"LA CRUZ","Nariño",671,2230,372,1923,153,234,25,69,12866,5677
"LA FLORIDA","Nariño",528,551,168,1504,64,74,16,34,8851,2939
"LA LLANADA","Nariño",113,157,69,940,25,84,2,18,3114,1408
"LA TOLA","Nariño",188,44,36,914,17,13,4,23,4781,1239
"LA UNION","Nariño",1071,3563,609,1307,289,344,33,119,20526,7335
"LEIVA","Nariño",204,146,85,1768,38,47,9,15,6978,2312
"LINARES","Nariño",278,252,127,3093,54,116,16,35,8335,3971
"LOS ANDES (SOTOMAYOR)","Nariño",368,248,307,1897,91,122,14,37,6755,3084
"MAGUI (PAYAN)","Nariño",116,121,46,1112,14,44,7,17,6033,1477
"MALLAMA (PIEDRANCHA)","Nariño",322,160,144,1053,67,62,9,18,5734,1835
"MOSQUERA","Nariño",723,88,63,1127,15,34,10,35,5550,2095
"NARIÃO","Nariño",185,284,149,1218,55,56,5,32,4024,1984
"OLAYA HERRERA","Nariño",220,278,136,3129,42,65,34,85,12534,3989
"OSPINA","Nariño",156,486,204,1002,83,112,23,33,5472,2099
"PASTO","Nariño",28237,17996,14302,40785,8520,5495,240,2524,266450,118099
"POLICARPA","Nariño",149,99,55,2828,47,43,14,30,9176,3265
"POTOSI","Nariño",920,612,564,677,214,97,12,42,9206,3138
"PROVIDENCIA","Nariño",117,58,127,1254,37,56,13,24,4069,1686
"PUERRES","Nariño",609,541,505,1065,140,210,17,61,7341,3148
"PUPIALES","Nariño",1778,932,1231,685,533,252,40,184,13807,5635
"RICAURTE","Nariño",335,327,155,720,66,71,13,45,12081,1732
"ROBERTO PAYAN (SAN JOSE)","Nariño",54,98,30,1357,20,19,7,14,8074,1599
"SAMANIEGO","Nariño",771,393,200,6050,142,188,22,95,21532,7861
"SAN BERNARDO","Nariño",213,1633,132,730,110,111,21,30,5775,2980
"SAN LORENZO","Nariño",535,1044,340,1565,140,160,35,106,12227,3925
"SAN PABLO","Nariño",519,660,230,1819,94,137,23,77,11013,3559
"SAN PEDRO DE CARTAGO","Nariño",160,1158,98,347,82,47,12,21,4949,1925
"SANDONA","Nariño",694,918,414,4777,185,192,33,80,15441,7293
"SANTA BARBARA (ISCUANDE)","Nariño",433,97,21,654,19,13,4,25,6940,1266
"SANTACRUZ (GUACHAVES)","Nariño",162,121,59,1234,60,52,8,14,6393,1710
"SAPUYES","Nariño",248,380,214,691,162,57,17,41,5341,1810
"TAMINANGO","Nariño",625,395,753,2063,109,134,16,55,13277,4150
"TANGUA","Nariño",420,692,342,1719,152,123,18,69,9114,3535
"TUMACO","Nariño",1844,8602,2973,15422,863,1086,198,605,115142,31593
"TUQUERRES","Nariño",1895,1059,2161,3696,565,606,85,348,32670,10415
"YACUANQUER","Nariño",512,1002,332,1479,105,143,26,92,7682,3691
"ABREGO","NortedeSantander",374,3318,441,1557,166,215,19,99,19949,6189
"ARBOLEDAS","NortedeSantander",112,1246,426,1164,28,53,21,71,6483,3121
"BOCHALEMA","NortedeSantander",135,1059,319,1183,50,137,19,82,5751,2984
"BUCARASICA","NortedeSantander",55,815,257,275,28,52,10,47,4178,1539
"CACHIRA","NortedeSantander",122,2104,328,316,40,43,9,42,6850,3004
"CACOTA","NortedeSantander",32,408,93,237,33,33,5,15,2079,856
"CHINACOTA","NortedeSantander",411,1586,1797,1069,292,271,14,176,10960,5616
"CHITAGA","NortedeSantander",162,1965,241,577,76,121,29,107,7275,3278
"CONVENCION","NortedeSantander",553,618,361,861,131,130,16,72,14990,2742
"CUCUTA","NortedeSantander",16795,51492,41467,54340,15965,11020,407,5276,505374,196762
"CUCUTILLA","NortedeSantander",69,820,911,854,38,60,17,70,5945,2839
"DURANIA","NortedeSantander",111,425,129,1196,35,57,9,54,4245,2016
"EL CARMEN","NortedeSantander",220,984,71,1315,64,61,14,64,9740,2793
"EL TARRA","NortedeSantander",695,72,92,912,37,57,6,44,9103,1915
"EL ZULIA","NortedeSantander",390,2203,1326,2258,299,303,49,172,19070,7000
"GRAMALOTE","NortedeSantander",38,903,387,800,34,72,21,37,4729,2292
"HACARI","NortedeSantander",567,87,73,422,39,72,41,36,6370,1337
"HERRAN","NortedeSantander",25,476,220,346,42,39,15,22,3270,1185
"LA ESPERANZA","NortedeSantander",161,1302,451,666,43,56,25,73,7876,2777
"LA PLAYA","NortedeSantander",107,588,206,479,38,75,10,46,6562,1549
"LABATECA","NortedeSantander",109,754,239,481,15,52,14,43,4719,1707
"LOS PATIOS","NortedeSantander",2112,8036,5373,6361,1967,1392,45,721,74525,26007
"LOURDES","NortedeSantander",25,724,225,224,19,58,3,24,3120,1302
"MUTISCUA","NortedeSantander",54,551,320,193,29,42,16,24,2626,1229
"OCAÃA","NortedeSantander",3610,7773,3826,5105,1750,1199,694,539,71961,24496
"PAMPLONA","NortedeSantander",3461,5437,4605,2496,1398,1078,70,639,41439,19184
"PAMPLONITA","NortedeSantander",54,534,783,300,31,75,21,68,3617,1866
"PUERTO SANTANDER","NortedeSantander",100,1574,238,1224,25,59,27,65,11393,3312
"RAGONVALIA","NortedeSantander",66,771,371,576,49,69,9,38,5875,1949
"SALAZAR","NortedeSantander",130,893,992,1012,91,111,24,78,7509,3331
"SAN CALIXTO","NortedeSantander",933,41,29,423,17,62,8,33,6704,1546
"SAN CAYETANO","NortedeSantander",150,745,297,889,71,96,6,58,6409,2312
"SANTIAGO","NortedeSantander",46,402,392,666,19,44,6,11,3231,1586
"SARDINATA","NortedeSantander",201,2561,991,1193,138,200,46,177,16809,5507
"SILOS","NortedeSantander",34,1135,98,188,34,52,12,40,3874,1593
"TEORAMA","NortedeSantander",933,153,168,514,21,57,6,33,8328,1885
"TIBU","NortedeSantander",1090,1277,1703,2962,277,310,44,206,28248,7869
"TOLEDO","NortedeSantander",207,2226,1294,748,95,206,54,165,11851,4995
"VILLA CARO","NortedeSantander",60,861,161,220,27,20,17,22,3596,1388
"VILLA DEL ROSARIO","NortedeSantander",1651,8903,3851,8553,1658,1209,62,673,74615,26560
"COLON","Putumayo",251,356,430,668,40,63,8,10,3985,1826
"MOCOA","Putumayo",2258,2363,3079,3653,805,589,36,157,32512,12940
"ORITO","Putumayo",1827,711,668,3304,579,245,40,153,24004,7527
"PUERTO ASIS","Putumayo",1538,2303,2639,3404,589,550,40,254,37843,11317
"PUERTO CAICEDO","Putumayo",326,190,489,1393,76,118,19,36,8272,2647
"PUERTO GUZMAN","Putumayo",413,620,424,674,89,189,23,41,10298,2473
"PUERTO LEGUIZAMO","Putumayo",330,1208,415,881,135,108,22,71,13346,3170
"SAN FRANCISCO","Putumayo",236,363,499,674,64,73,12,16,4485,1937
"SAN MIGUEL (LA DORADA)","Putumayo",380,145,247,2003,141,80,17,45,10804,3058
"SANTIAGO","Putumayo",216,240,528,733,66,41,15,13,5657,1852
"SIBUNDOY","Putumayo",932,682,899,1212,174,155,8,42,9846,4104
"VALLE DEL GUAMUEZ (LA HORMIGA)","Putumayo",1014,393,397,4940,244,211,31,105,21666,7335
"VILLAGARZON","Putumayo",746,1235,1236,1153,157,176,26,97,14140,4826
"ARMENIA","Quindío",15093,27648,17736,23552,14240,8228,414,3302,236387,110213
"BUENAVISTA","Quindío",93,290,244,400,160,54,11,28,2786,1280
"CALARCA","Quindío",2849,8636,3993,5582,2274,1686,108,986,55831,26114
"CIRCASIA","Quindío",1019,3331,1689,2556,854,627,54,326,21111,10456
"CORDOBA","Quindío",188,715,171,759,213,88,26,114,4815,2274
"FILANDIA","Quindío",394,1200,924,1065,600,253,30,169,9842,4635
"GENOVA","Quindío",286,1153,534,819,123,107,22,92,7107,3136
"LA TEBAIDA","Quindío",1796,3581,1581,3141,936,640,256,612,26127,12543
"MONTENEGRO","Quindío",1304,4505,1867,3727,948,797,94,736,31843,13978
"PIJAO","Quindío",234,1074,560,649,85,94,22,67,5976,2785
"QUIMBAYA","Quindío",1481,3146,2046,3580,777,663,65,472,28768,12230
"SALENTO","Quindío",213,1070,281,568,259,153,9,64,5478,2617
"APIA","Risaralda",306,1911,1328,720,143,198,35,146,10259,4787
"BALBOA","Risaralda",114,1040,250,728,89,141,17,73,5409,2452
"BELEN DE UMBRIA","Risaralda",734,4182,2409,780,301,337,46,257,20783,9046
"DOSQUEBRADAS","Risaralda",8812,18718,14817,13390,6504,4697,251,2476,141950,69665
"GUATICA","Risaralda",252,2478,912,458,135,192,38,119,10134,4584
"LA CELIA","Risaralda",202,1141,893,387,81,104,25,96,6287,2929
"LA VIRGINIA","Risaralda",1610,3400,2682,3239,626,727,62,436,29774,12782
"MARSELLA","Risaralda",457,2653,1550,1070,256,310,50,205,15270,6551
"MISTRATO","Risaralda",400,1251,965,930,73,116,45,147,10418,3927
"PEREIRA","Risaralda",24768,47791,34409,33485,19315,11383,644,5362,377378,177157
"PUEBLO RICO","Risaralda",139,779,570,1158,62,78,34,61,8310,2881
"QUINCHIA","Risaralda",1677,2259,616,2410,408,514,112,476,19061,8472
"SANTA ROSA DE CABAL","Risaralda",3327,8182,7499,4142,2178,1615,136,776,56234,27855
"SANTUARIO","Risaralda",316,1853,1501,861,216,181,47,145,12223,5120
"PROVIDENCIA","SanAndrés",29,324,23,570,71,60,9,5,3876,1091
"SAN ANDRES","SanAndrés",672,2296,556,2664,733,538,18,104,41767,7581
"AGUADA","Santander",16,293,60,118,20,18,1,3,1436,529
"ALBANIA","Santander",46,460,388,334,22,32,11,25,3308,1318
"ARATOCA","Santander",186,1014,262,658,59,119,16,57,6190,2371
"BARBOSA","Santander",1358,2618,1301,2700,409,538,20,332,22974,9276
"BARICHARA","Santander",228,861,505,486,118,160,14,81,6110,2453
"BARRANCABERMEJA","Santander",22088,10746,9125,20027,3848,2912,124,1765,155058,70635
"BETULIA","Santander",185,558,280,438,61,92,10,45,3871,1669
"BOLIVAR","Santander",187,1170,286,1371,56,132,24,88,8586,3314
"BUCARAMANGA","Santander",36688,48652,36395,51945,20053,13320,285,3929,475132,211267
"CABRERA","Santander",12,346,109,199,12,16,3,5,1607,702
"CALIFORNIA","Santander",31,443,107,54,31,61,13,24,1573,764
"CAPITANEJO","Santander",48,1050,438,265,30,38,4,52,4833,1925
"CARCASI","Santander",37,934,135,373,44,54,14,23,3644,1614
"CEPITA","Santander",22,406,44,324,7,26,4,10,1800,843
"CERRITO","Santander",152,791,198,763,65,87,14,58,4499,2128
"CHARALA","Santander",300,675,428,2474,93,192,24,63,9582,4249
"CHARTA","Santander",69,961,180,404,29,43,6,8,3334,1700
"CHIMA","Santander",18,355,87,310,13,50,12,25,2348,870
"CHIPATA","Santander",57,227,76,1055,21,67,8,32,4104,1543
"CIMITARRA","Santander",1134,3348,1001,2644,370,443,214,487,26172,9641
"CONCEPCION","Santander",92,919,112,784,58,95,6,31,4786,2097
"CONFINES","Santander",51,389,247,189,17,41,5,23,2267,962
"CONTRATACION","Santander",77,299,329,473,24,74,14,29,2770,1319
"COROMORO","Santander",101,627,185,509,34,93,18,52,4047,1619
"CURITI","Santander",242,1461,602,925,149,168,14,86,8001,3647
"EL CARMEN","Santander",149,2825,668,876,85,172,39,131,10423,4945
"EL GUACAMAYO","Santander",20,344,85,215,12,24,3,17,1584,720
"EL PEÃON","Santander",73,414,46,692,34,44,14,26,3174,1343
"EL PLAYON","Santander",191,1918,756,1235,82,128,34,150,11266,4494
"ENCINO","Santander",29,246,199,358,9,27,9,10,2040,887
"ENCISO","Santander",84,396,307,454,45,57,2,23,3198,1368
"FLORIAN","Santander",69,407,81,1058,31,52,7,13,4965,1718
"FLORIDABLANCA","Santander",13567,18880,18806,18015,6674,4950,157,1666,168816,82715
"GALAN","Santander",36,610,186,179,32,40,8,19,2471,1110
"GAMBITA","Santander",34,428,170,621,19,57,10,32,3193,1371
"GIRON","Santander",7254,11370,9526,10281,2792,2731,81,931,97590,44966
"GUACA","Santander",43,844,334,471,42,60,9,34,5171,1837
"GUADALUPE","Santander",92,630,851,240,29,41,4,38,4204,1925
"GUAPOTA","Santander",41,213,231,221,15,25,5,28,1842,779
"GUAVATA","Santander",77,299,298,697,28,76,9,32,4446,1516
"GUEPSA","Santander",152,281,188,759,27,92,5,31,4027,1535
"HATO","Santander",57,180,88,440,15,40,9,34,1784,863
"JESUS MARIA","Santander",50,323,292,350,15,56,5,20,3152,1111
"JORDAN","Santander",17,146,229,33,20,11,2,5,1018,463
"LA BELLEZA","Santander",62,1224,309,370,42,69,11,5,5182,2092
"LA PAZ","Santander",61,423,282,402,10,52,10,14,4077,1254
"LANDAZURI","Santander",210,1069,221,1270,58,155,25,130,9218,3138
"LEBRIJA","Santander",959,5596,1801,3159,604,665,32,342,28034,13158
"LOS SANTOS","Santander",265,971,614,1146,191,190,22,115,8179,3514
"MACARAVITA","Santander",15,522,136,155,6,14,5,4,2189,857
"MALAGA","Santander",706,2690,1766,1219,282,343,18,165,14869,7189
"MATANZA","Santander",104,1265,351,411,50,83,18,35,4847,2317
"MOGOTES","Santander",181,1122,550,660,124,190,19,177,7339,3023
"MOLAGAVITA","Santander",26,926,236,154,34,37,6,26,3571,1445
"OCAMONTE","Santander",67,663,187,501,40,67,7,29,3677,1561
"OIBA","Santander",354,1208,750,777,101,184,15,139,8124,3528
"ONZAGA","Santander",84,397,456,307,21,69,55,40,3793,1429
"PALMAR","Santander",25,123,55,307,16,12,1,7,1308,546
"PALMAS DEL SOCORRO","Santander",47,344,299,254,27,19,4,18,2412,1012
"PARAMO","Santander",94,491,305,279,61,97,6,34,2977,1367
"PIEDECUESTA","Santander",7182,11677,9301,9787,2912,2491,114,1271,93023,44735
"PINCHOTE","Santander",118,489,209,309,67,66,4,30,2917,1292
"PUENTE NACIONAL","Santander",426,1090,1162,1509,202,231,20,121,12323,4761
"PUERTO PARRA","Santander",108,727,125,445,106,73,16,57,5211,1657
"PUERTO WILCHES","Santander",1650,2268,1322,1926,331,258,24,163,22147,7942
"RIONEGRO","Santander",452,3636,977,2628,246,436,29,256,21094,8660
"SABANA DE TORRES","Santander",819,2773,1243,1970,274,238,36,159,19187,7512
"SAN ANDRES","Santander",162,1191,395,1042,65,84,16,55,6944,3010
"SAN BENITO","Santander",30,286,111,478,17,38,5,20,2933,985
"SAN GIL","Santander",3140,4231,3036,3241,1242,1161,39,408,37904,16498
"SAN JOAQUIN","Santander",40,262,164,267,15,43,9,18,2185,818
"SAN JOSE DE MIRANDA","Santander",84,786,448,213,35,50,8,21,3863,1645
"SAN MIGUEL","Santander",19,442,139,191,22,42,13,9,2093,877
"SAN VICENTE DE CHUCURI","Santander",1224,3685,1208,2094,305,538,43,313,24221,9410
"SANTA BARBARA","Santander",38,377,136,175,25,28,9,23,1853,811
"SANTA HELENA DEL OPON","Santander",26,479,135,359,12,213,3,21,2989,1248
"SIMACOTA","Santander",147,984,226,915,48,96,19,64,5705,2499
"SOCORRO","Santander",988,2577,2479,2960,433,555,20,224,22206,10236
"SUAITA","Santander",157,768,372,1349,82,173,11,93,8148,3005
"SUCRE","Santander",91,1208,278,459,28,74,19,37,5917,2194
"SURATA","Santander",65,693,165,374,29,35,15,33,2803,1409
"TONA","Santander",155,791,189,814,64,168,23,123,4873,2327
"VALLE DE SAN JOSE","Santander",188,663,396,498,62,88,9,35,4381,1939
"VELEZ","Santander",588,1528,908,2120,213,420,24,355,15968,6156
"VETAS","Santander",18,430,105,57,11,38,3,26,1430,688
"VILLANUEVA","Santander",224,965,664,486,153,98,10,37,6217,2637
"ZAPATOCA","Santander",234,935,755,510,105,167,8,66,7120,2780
"BUENAVISTA","Sucre",162,859,122,2534,69,99,9,21,9190,3875
"CAIMITO","Sucre",196,631,79,2841,24,64,10,31,8397,3876
"CHALAN","Sucre",74,950,88,731,25,20,10,18,4352,1916
"COLOSO (RICAURTE)","Sucre",63,1208,74,1320,48,53,22,26,6486,2814
"COROZAL","Sucre",2589,6042,857,6720,414,665,34,239,44135,17560
"COVEÃAS","Sucre",288,1470,331,1947,96,141,16,63,10050,4352
"EL ROBLE","Sucre",169,591,83,2033,26,90,19,21,7466,3032
"GALERAS (NUEVA GRANADA)","Sucre",304,2293,349,2709,100,181,19,49,15009,6004
"GUARANDA","Sucre",75,2458,114,1190,77,45,15,24,12014,3998
"LA UNION","Sucre",197,592,227,2171,55,86,12,14,9166,3354
"LOS PALMITOS","Sucre",545,1986,270,4599,117,160,23,88,16691,7788
"MAJAGUAL","Sucre",294,4392,288,4899,101,139,49,60,25071,10222
"MORROA","Sucre",499,1899,226,2247,113,196,21,46,12154,5247
"OVEJAS","Sucre",692,3412,195,4256,145,189,28,85,19495,9002
"PALMITO","Sucre",265,859,239,1792,60,58,12,31,9233,3316
"SAMPUES","Sucre",710,3176,569,7554,379,377,43,124,29234,12932
"SAN BENITO ABAD","Sucre",306,2590,204,3523,96,104,23,55,17776,6901
"SAN JUAN DE BETULIA (BETULIA)","Sucre",258,1499,186,2587,80,156,13,39,10833,4818
"SAN MARCOS","Sucre",513,4709,514,6243,290,442,56,126,40135,12893
"SAN ONOFRE","Sucre",1069,2464,348,7192,156,196,52,164,39570,11641
"SAN PEDRO","Sucre",422,2219,291,3614,138,297,40,72,15727,7093
"SINCE","Sucre",533,2736,618,4612,203,438,36,119,24765,9295
"SINCELEJO","Sucre",9148,25192,4220,22411,2582,3378,179,1057,184217,68167
"SUCRE","Sucre",162,3545,206,3440,85,90,25,46,19826,7599
"TOLU","Sucre",769,2570,499,4230,196,343,26,140,21937,8773
"TOLUVIEJO","Sucre",322,1778,251,4714,82,176,17,43,17338,7383
"ALPUJARRA","Tolima",43,1007,292,194,20,45,4,23,3585,1628
"ALVARADO","Tolima",211,897,229,1273,128,141,27,62,8110,2968
"AMBALEMA","Tolima",248,479,275,1334,72,100,8,80,6900,2596
"ANZOATEGUI","Tolima",154,1792,169,301,58,79,19,53,7114,2625
"ARMERO (GUAYABAL)","Tolima",509,1244,455,1392,124,105,10,119,9969,3958
"ATACO","Tolima",203,4333,269,842,97,106,39,74,14531,5963
"CAJAMARCA","Tolima",744,3656,767,761,327,414,43,246,15993,6958
"CARMEN DE APICALA","Tolima",233,1524,360,1449,88,183,8,86,8031,3931
"CASABIANCA","Tolima",93,1019,400,268,45,58,16,30,4763,1929
"CHAPARRAL","Tolima",863,6088,701,3522,350,504,62,259,36209,12349
"COELLO","Tolima",287,718,328,1170,112,98,14,49,7607,2776
"COYAIMA","Tolima",1015,1663,382,2072,102,123,56,150,16594,5563
"CUNDAY","Tolima",108,1503,390,553,34,115,9,26,7066,2738
"DOLORES","Tolima",156,1573,144,314,45,77,11,42,6440,2362
"ESPINAL","Tolima",2154,7550,4648,6160,1097,1350,67,667,55765,23693
"FALAN","Tolima",172,921,127,810,40,119,26,57,5684,2272
"FLANDES","Tolima",849,2512,1118,1812,222,307,20,181,16676,7021
"FRESNO","Tolima",774,4804,1692,1270,299,414,66,329,25411,9648
"GUAMO","Tolima",755,3358,3018,1770,254,290,56,215,25217,9716
"HERVEO","Tolima",182,1296,294,344,92,64,11,51,6014,2334
"HONDA","Tolima",1111,2555,1595,2608,389,428,29,325,22579,9040
"IBAGUE","Tolima",25262,62678,22654,28414,19247,11079,344,5592,370044,175270
"ICONONZO","Tolima",347,1144,216,1212,85,160,19,65,8175,3248
"LERIDA","Tolima",1213,1481,715,1771,179,224,17,124,14781,5724
"LIBANO","Tolima",1792,5255,1200,2593,547,498,77,477,32391,12439
"MARIQUITA","Tolima",1346,5312,1126,2827,583,680,64,511,27396,12449
"MELGAR","Tolima",652,5803,1962,2223,454,452,24,239,25379,11809
"MURILLO","Tolima",87,458,280,148,29,76,9,53,3676,1140
"NATAGAIMA","Tolima",1008,1535,542,1821,97,129,24,91,15328,5247
"ORTEGA","Tolima",721,3771,2109,2052,203,233,73,250,23501,9412
"PALOCABILDO","Tolima",306,1377,173,519,40,146,13,57,6967,2631
"PIEDRAS","Tolima",144,286,103,206,61,940,18,77,5387,1835
"PLANADAS","Tolima",518,2881,454,1288,256,279,57,184,18846,5917
"PRADO","Tolima",152,1594,223,884,55,86,16,70,7768,3080
"PURIFICACION","Tolima",1080,2217,1966,2328,241,283,34,238,19909,8387
"RIOBLANCO","Tolima",275,2170,255,1251,163,316,73,98,15251,4601
"RONCESVALLES","Tolima",115,854,158,226,59,82,13,29,3970,1536
"ROVIRA","Tolima",332,3032,966,815,165,193,119,104,18491,5726
"SALDAÃA","Tolima",671,1556,1452,553,227,187,21,147,12288,4814
"SAN ANTONIO","Tolima",154,2642,679,331,108,89,23,81,9834,4107
"SAN LUIS","Tolima",269,2059,532,1464,128,134,38,102,10808,4726
"SANTA ISABEL","Tolima",86,1138,365,310,23,52,7,26,5857,2007
"SUAREZ","Tolima",77,601,332,636,44,41,6,17,4357,1754
"VALLE DE SAN JUAN","Tolima",88,748,794,281,29,33,9,24,4967,2006
"VENADILLO","Tolima",342,1581,394,1614,124,178,24,121,11464,4378
"VILLAHERMOSA","Tolima",131,1860,317,243,66,78,19,64,7002,2778
"VILLARRICA","Tolima",99,1448,64,326,26,42,16,25,5106,2046
"ALCALA","Valle",338,1251,562,1357,315,162,24,158,10950,4167
"ANDALUCIA","Valle",1272,1129,2004,1794,337,392,120,198,19343,7246
"ANSERMANUEVO","Valle",595,2508,2243,849,241,230,95,150,19162,6911
"ARGELIA","Valle",83,626,700,841,41,40,15,29,6423,2375
"BOLIVAR","Valle",319,1425,1397,1017,157,181,12,81,13257,4589
"BUENAVENTURA","Valle",8232,7456,6505,31996,2503,2866,782,2590,207431,62930
