"MUN","DEP","CL","OIZ","MLR","JMS","EP","BLANCOS","SIN.MARCA","NULOS","POTENCIAL","TOTAL"
"CANDELARIA","Atlántico",44,359,66,2921,20,47,11,17,10734,3485
"GALAPA","Atlántico",821,1642,493,5749,249,293,12,104,33272,9363
"JUAN DE ACOSTA","Atlántico",371,769,279,2305,178,98,6,32,17379,4038
"LURUACO","Atlántico",289,1382,230,3397,106,150,34,75,22715,5663
"MALAMBO","Atlántico",2117,3342,1217,8457,557,573,92,216,67327,16571
"MANATI","Atlántico",75,363,82,2661,25,35,7,19,12812,3267
"PALMAR DE VARELA","Atlántico",486,440,199,3598,104,175,12,29,19081,5043
"PIOJO","Atlántico",30,499,34,1083,15,22,4,14,5662,1701
"POLONUEVO","Atlántico",438,315,212,2919,106,115,12,47,11647,4164
"PONEDERA","Atlántico",131,1348,145,2547,202,73,15,37,17219,4498
"PUERTO COLOMBIA","Atlántico",1093,1406,599,4478,738,344,18,72,30558,8748
"REPELON","Atlántico",243,481,142,5494,66,106,15,56,17487,6603
"SABANAGRANDE","Atlántico",600,1055,448,3973,257,333,35,65,22004,6766
"SABANALARGA","Atlántico",1158,2468,1085,16307,579,590,58,199,61435,22444
"SANTA LUCIA","Atlántico",80,504,63,1786,84,16,6,14,9210,2553
"SANTO TOMAS","Atlántico",1273,881,444,3021,241,245,22,31,24929,6158
"SOLEDAD","Atlántico",9347,9775,4596,23942,2840,2596,344,652,253922,54092
"SUAN","Atlántico",62,342,59,2693,27,36,2,27,9273,3248
"TUBARA","Atlántico",331,423,287,2243,102,71,141,11,9569,3609
"USIACURI","Atlántico",122,185,106,1890,71,51,6,20,7300,2451
"BOGOTA. D.C.","Bogotá",498951,539441,364986,441960,390499,206861,4045,54731,5204003,2501474
"ACHI","Bolívar",148,3909,121,1136,61,57,30,36,15286,5498
"ALTOS DEL ROSARIO","Bolívar",113,724,27,1255,20,28,11,25,6207,2203
"ARENAL","Bolívar",179,315,149,843,21,28,4,11,5302,1550
"ARJONA","Bolívar",1628,3226,869,4869,676,764,47,187,48396,12266
"ARROYO HONDO","Bolívar",77,804,72,799,24,14,5,27,6550,1822
"BARRANCO DE LOBA","Bolívar",263,1759,90,1369,39,30,19,91,10513,3660
"CALAMAR","Bolívar",309,1940,189,2841,69,117,25,86,16955,5576
"CANTAGALLO","Bolívar",264,302,301,557,25,35,10,11,5946,1505
"CARTAGENA","Bolívar",30365,45250,13159,37468,14986,9289,486,1590,692257,152593
"CICUCO","Bolívar",245,554,103,2143,31,39,8,21,8744,3144
"CLEMENCIA","Bolívar",225,647,119,1703,107,56,9,47,9561,2913
"CORDOBA","Bolívar",181,1733,88,3590,24,52,24,21,12934,5713
"EL CARMEN DE BOLIVAR","Bolívar",427,8039,327,6265,159,364,174,237,50793,15992
"EL GUAMO","Bolívar",46,691,39,1481,13,34,5,23,7055,2332
"EL PEÃON","Bolívar",135,732,64,836,11,17,3,9,5485,1807
"HATILLO DE LOBA","Bolívar",262,1672,78,1271,15,23,13,21,9615,3355
"MAGANGUE","Bolívar",2195,7446,1558,13883,677,589,69,383,89302,26800
"MAHATES","Bolívar",374,1996,211,2258,117,64,19,55,18621,5094
"MARGARITA","Bolívar",220,1031,110,1098,12,30,7,21,8460,2529
"MARIA LA BAJA","Bolívar",511,1962,122,6989,112,182,36,147,35962,10061
"MOMPOS","Bolívar",1079,2233,421,3295,121,156,10,98,33608,7413
"MONTECRISTO","Bolívar",36,759,205,1014,22,21,4,21,8384,2082
"MORALES","Bolívar",169,1676,201,1611,47,52,21,27,10311,3804
"NOROSI","Bolívar",52,287,127,602,19,16,4,14,3615,1121
"PINILLOS","Bolívar",310,1765,285,2906,57,50,20,83,15566,5476
"REGIDOR","Bolívar",43,276,25,835,13,7,5,9,4284,1213
"RIOVIEJO","Bolívar",118,736,69,1061,27,28,3,21,5683,2063
"SAN CRISTOBAL","Bolívar",76,214,25,1683,18,25,3,6,6053,2050
"SAN ESTANISLAO","Bolívar",265,1096,188,2481,84,120,12,47,13563,4293
"SAN FERNANDO","Bolívar",145,682,49,1127,10,24,8,30,7833,2075
"SAN JACINTO","Bolívar",311,3257,307,3518,93,148,232,76,19368,7942
"SAN JACINTO DEL CAUCA","Bolívar",86,927,51,846,24,33,9,11,6563,1987
"SAN JUAN NEPOMUCENO","Bolívar",398,3881,281,3123,172,209,24,95,29049,8183
"SAN MARTIN DE LOBA","Bolívar",367,1226,190,1126,45,44,2,34,10366,3034
"SAN PABLO","Bolívar",556,1369,674,1501,87,448,44,100,16328,4779
"SANTA CATALINA","Bolívar",262,428,108,1970,51,70,6,22,11136,2917
"SANTA ROSA","Bolívar",136,534,105,951,60,398,27,50,12294,2261
"SANTA ROSA DEL SUR","Bolívar",758,2746,1274,1076,170,271,22,112,16803,6429
"SIMITI","Bolívar",408,1193,481,1039,52,101,17,56,11814,3347
"SOPLAVIENTO","Bolívar",254,243,75,2037,49,49,6,16,7765,2729
"TALAIGUA NUEVO","Bolívar",174,1140,97,1675,46,36,6,10,8649,3184
"TIQUISIO (PTO. RICO)","Bolívar",103,1658,79,1017,30,37,9,32,11548,2965
"TURBACO","Bolívar",2010,3254,1423,3909,895,734,33,182,55375,12440
"TURBANA","Bolívar",321,1104,349,1680,177,136,11,40,13563,3818
"VILLANUEVA","Bolívar",402,2317,167,1762,84,123,18,96,14210,4969
"ZAMBRANO","Bolívar",101,376,59,3317,23,63,9,31,8536,3979
"ALMEIDA","Boyacá",58,460,50,109,17,19,3,22,1867,738
"AQUITANIA (PUEBLOVIEJO)","Boyacá",421,3467,1168,300,127,86,32,126,12252,5727
"ARCABUCO","Boyacá",302,483,559,348,71,81,9,99,4415,1952
"BELEN","Boyacá",544,542,1142,364,113,122,14,80,6658,2921
"BERBEO","Boyacá",84,151,66,90,39,42,1,10,1466,483
"BETEITIVA","Boyacá",98,183,151,215,43,41,5,15,1884,751
"BOAVITA","Boyacá",194,1043,451,325,43,41,8,35,5150,2140
"BOYACA","Boyacá",263,300,169,230,80,33,14,39,4001,1128
"BRICEÃO","Boyacá",42,341,148,279,15,23,5,11,1977,864
"BUENAVISTA","Boyacá",125,803,250,562,96,50,20,32,4503,1938
"BUSBANZA","Boyacá",38,76,184,51,21,13,4,5,763,392
"CALDAS","Boyacá",162,344,278,203,29,77,7,32,3072,1132
"CAMPOHERMOSO","Boyacá",74,659,142,149,27,42,4,9,2502,1106
"CERINZA","Boyacá",385,334,593,158,77,62,7,58,3303,1674
"CHINAVITA","Boyacá",136,556,200,214,30,32,4,14,3101,1186
"CHIQUINQUIRA","Boyacá",3207,4981,4114,2937,1253,936,36,433,38741,17897
"CHIQUIZA","Boyacá",178,158,121,361,77,84,14,129,4236,1122
"CHISCAS","Boyacá",78,1116,28,246,19,22,9,32,3542,1550
"CHITA","Boyacá",163,2337,115,150,41,67,19,66,6430,2958
"CHITARAQUE","Boyacá",118,758,154,487,20,40,16,32,5240,1625
"CHIVATA","Boyacá",193,190,441,116,164,25,2,26,2545,1157
"CHIVOR","Boyacá",26,396,164,145,14,20,4,8,1778,777
"CIENEGA","Boyacá",119,847,582,94,62,54,9,28,3757,1795
"COMBITA","Boyacá",691,581,795,443,297,95,7,111,8320,3020
"COPER","Boyacá",66,320,264,617,20,47,6,19,3240,1359
"CORRALES","Boyacá",223,217,373,109,80,49,3,29,2170,1083
"COVARACHIA","Boyacá",54,927,83,105,21,13,11,14,3177,1228
"CUBARA","Boyacá",248,436,207,394,32,88,20,51,4575,1476
"CUCAITA","Boyacá",279,144,703,133,77,50,5,26,2988,1417
"CUITIVA","Boyacá",110,326,238,142,31,21,4,13,1870,885
"DUITAMA","Boyacá",11918,9674,7551,4542,5587,2019,50,1208,79112,42549
"EL COCUY","Boyacá",112,1084,233,107,33,67,9,41,3711,1686
"EL ESPINO","Boyacá",32,834,189,71,12,13,6,7,2244,1164
"FIRAVITOBA","Boyacá",598,338,538,259,132,57,9,46,5540,1977
"FLORESTA","Boyacá",129,425,580,142,83,43,11,19,3045,1432
"GACHANTIVA","Boyacá",146,385,328,223,49,32,8,33,2766,1204
"GAMEZA","Boyacá",188,563,539,148,54,44,7,45,4044,1588
"GARAGOA","Boyacá",811,1544,1035,760,268,218,13,138,11535,4787
"GUACAMAYAS","Boyacá",29,636,80,28,5,12,5,7,1642,802
"GUATEQUE","Boyacá",525,1043,565,891,293,213,22,111,8798,3663
"GUAYATA","Boyacá",105,794,431,239,46,45,4,22,3876,1686
"GUICAN","Boyacá",107,995,184,81,56,57,17,32,2992,1529
"IZA","Boyacá",190,331,214,98,73,25,0,15,2115,946
"JENESANO","Boyacá",332,572,208,398,88,72,18,63,5296,1751
"JERICO","Boyacá",81,986,71,132,25,22,15,34,3094,1366
"LA CAPILLA","Boyacá",158,373,254,145,45,47,7,22,2574,1051
"LA UVITA","Boyacá",47,675,282,119,34,21,4,22,2512,1204
"LA VICTORIA","Boyacá",16,164,14,339,6,16,7,4,1478,566
"LABRANZAGRANDE","Boyacá",69,817,64,114,17,15,14,15,2670,1125
"MACANAL","Boyacá",169,731,279,183,53,40,11,50,3533,1516
"MARIPI","Boyacá",95,1025,196,820,23,36,7,39,6561,2241
"MIRAFLORES","Boyacá",705,990,340,947,307,428,18,86,7548,3821
"MONGUA","Boyacá",168,1418,352,103,58,29,14,44,3841,2186
"MONGUI","Boyacá",553,544,322,160,66,39,1,28,3436,1713
"MONIQUIRA","Boyacá",1553,2059,1245,1195,305,259,31,257,16776,6904
"MOTAVITA","Boyacá",463,364,291,405,230,89,6,101,4759,1949
"MUZO","Boyacá",188,1157,574,653,58,107,20,103,6961,2860
"NOBSA","Boyacá",2303,855,1116,824,626,235,6,145,10901,6110
"NUEVO COLON","Boyacá",332,350,352,273,99,109,7,66,4437,1588
"OICATA","Boyacá",252,176,268,144,107,27,1,24,2290,999
"OTANCHE","Boyacá",153,1774,221,328,64,92,21,59,6353,2712
"PACHAVITA","Boyacá",83,417,184,93,36,32,6,13,1994,864
"PAEZ","Boyacá",43,573,55,481,36,49,8,13,2265,1258
"PAIPA","Boyacá",2183,2458,1827,1637,1691,674,22,448,23614,10940
"PAJARITO","Boyacá",63,490,42,101,21,18,7,4,1612,746
"PANQUEBA","Boyacá",28,530,84,49,4,10,6,6,1516,717
"PAUNA","Boyacá",195,1184,555,688,56,85,23,99,6759,2885
"PAYA","Boyacá",39,285,241,49,15,18,5,16,1284,668
"PAZ DE RIO","Boyacá",507,172,328,304,284,81,7,42,4418,1725
